query,instruction,context,predicted_label,confidence,reasoning,think
Change the sentence to present perfect continuous. He is walking quickly.,Change the sentence to present perfect continuous.,He is walking quickly.,0,1.0,This query involves a grammatical transformation task that requires understanding English tenses but does not necessitate external factual data.,
"Given two people, suggest a restaurant for them to visit. John and Jane","Given two people, suggest a restaurant for them to visit.",John and Jane,0,1.0,This query is generic and does not require specific information; it can be answered by providing a general restaurant suggestion.,
Identify what type of genre a book belongs to. Joe's World by Jordan Williams,Identify what type of genre a book belongs to.,Joe's World by Jordan Williams,1,1.0,"Determining the genre of a specific book like ""Joe's World"" by Jordan Williams requires accessing external information about its content or classification, which is not typically available in general knowledge.",
List five ways that businesses can increase customer loyalty. nan,List five ways that businesses can increase customer loyalty.,,0,1.0,"This query seeks general knowledge on a well-documented topic in business and marketing, which a language model can answer without external retrieval.",
"Delete the 3rd sentence from the following following text People have been using masks for thousands of years for ritual, ceremony, and protection. Masks have been used for theater, masquerade balls, carnivals, and other celebrations. Masks can help us understand the ways in which we express our unique identities. They can reveal something of the wearer or the model that he or she is portraying.",Delete the 3rd sentence from the following following text,"People have been using masks for thousands of years for ritual, ceremony, and protection. Masks have been used for theater, masquerade balls, carnivals, and other celebrations. Masks can help us understand the ways in which we express our unique identities. They can reveal something of the wearer or the model that he or she is portraying.",0,1.0,This query is a request to edit or modify existing text rather than seeking new information. It does not require external data but only involves restructuring the given content.,
"Generate a limerick poem to illustrate the following sentence: ""Differences between frogs and humans"". nan","Generate a limerick poem to illustrate the following sentence: ""Differences between frogs and humans"".",,0,1.0,This query asks for a creative task (poem generation) rather than specific factual information. It can be addressed by generating content based on general knowledge without external data.,
Imagine you are telling a story. Describe how the story first began. nan,Imagine you are telling a story. Describe how the story first began.,,0,1.0,This query involves creative storytelling and does not require factual data; it can be answered by generating content based on general knowledge or imagination.,
Generate three metrics that show the success of a mobile application. nan,Generate three metrics that show the success of a mobile application.,,0,1.0,"The query asks for common metrics related to mobile app success, which are standard KPIs (Key Performance Indicators) that a language model can generate from general knowledge without needing external data.",
Name two ways to reduce the environmental effects of human activities. nan,Name two ways to reduce the environmental effects of human activities.,,0,1.0,"This query asks for general knowledge on reducing environmental impacts, which can be answered using existing information known by the model without requiring external data.",
"Create a story starting with the sentence: ""The day was brighter than usual"". nan","Create a story starting with the sentence: ""The day was brighter than usual"".",,0,1.0,"This query involves creative writing, which does not require specific external information but relies on imaginative storytelling that the language model can generate.",
Make a list of topics to discuss in a given research paper. Analyzing the impact of the coronavirus pandemic on higher education,Make a list of topics to discuss in a given research paper.,Analyzing the impact of the coronavirus pandemic on higher education,1,1.0,"This query requires generating a list of specific topics related to the pandemic's impact on higher education, which likely necessitates accessing specialized information or recent research data.",
"Give me 3 examples of a vocabulary word that means ""determined"". nan","Give me 3 examples of a vocabulary word that means ""determined"".",,0,1.0,"This query requests examples of common vocabulary words that convey ""determined,"" which a language model can answer from its built-in knowledge.",
"Classifythe given tweet as negative, neutral, or positive. I absolutely loved this movie!","Classifythe given tweet as negative, neutral, or positive.",I absolutely loved this movie!,0,1.0,"This query asks for sentiment classification of a given text, which can be determined using linguistic features present in the text without requiring external data.",
"Categorize the below countries according to their populations China, Saudi Arabia, India, Norway",Categorize the below countries according to their populations,"China, Saudi Arabia, India, Norway",1,1.0,"Categorizing countries by their populations requires specific numerical data on each nation's current population size, which is detailed and factual information that typically necessitates external retrieval.",
Write a story about a young boy visiting a foreign country. Country: Egypt,Write a story about a young boy visiting a foreign country.,Country: Egypt,0,1.0,"This query is asking for a creative task (storywriting) and does not require specific factual information beyond general knowledge of Egypt, which can be handled by the language model without external data.",
Name 5 types of animals that are kept as pets. nan,Name 5 types of animals that are kept as pets.,,0,1.0,"The query asks for a list of common pet types, which is a general knowledge question that can be answered by the model's internal knowledge without needing external data.",
Make a list of 10 ideas for starting an online business. nan,Make a list of 10 ideas for starting an online business.,,0,1.0,"This query seeks creative business ideas, which the language model can generate without needing external data.",
Compare colonialism and imperialism nan,Compare colonialism and imperialism,,1,1.0,"The query involves comparing two complex historical and political concepts, which likely requires detailed definitions and distinctions that may need external information for accuracy.",
What would be a reasonable expectation for returning a borrowed item? nan,What would be a reasonable expectation for returning a borrowed item?,,0,1.0,"This query seeks general knowledge about social norms regarding borrowed items, which a language model can answer without needing external data.",
Generate a sentence that applies the context of the input sentence. I am going to need help.,Generate a sentence that applies the context of the input sentence.,I am going to need help.,0,1.0,"This query asks for a paraphrased sentence based on the input, which can be handled by general text generation without needing external factual data.",
"Given a sentence containing a grammar mistake, correct the sentence. The library was visit by hundreds of students","Given a sentence containing a grammar mistake, correct the sentence.",The library was visit by hundreds of students,0,1.0,"This query involves correcting a grammatical mistake in a sentence, which is a task that a language model can handle using its internal knowledge of grammar rules without needing external data.",
Find a synonym of “protective” nan,Find a synonym of “protective”,,0,1.0,"This is a request for a synonym, which a language model can typically answer using its built-in vocabulary without needing external information.",
"Classify the following news article

News Article: 

Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend. News Article: 
Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend.","Classify the following news article

News Article: 

Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend.","News Article: 
Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend.",0,1.0,"This query involves classifying a news article whose content is provided in full, so it does not require additional external information to complete the task.",
Construct a story of love and loss. nan,Construct a story of love and loss.,,0,1.0,This query asks for a creative task (story construction) that does not require external information but rather imaginative writing.,
Create a song lyric about friendship. nan,Create a song lyric about friendship.,,0,1.0,"The query asks for creative assistance in writing song lyrics about friendship, which is a generative task and does not require specific external information. Language models can assist with such tasks based on general knowledge and creativity.",
Suggest two measures to improve air quality in cities nan,Suggest two measures to improve air quality in cities,,0,1.0,"This query asks for general suggestions to improve air quality, which are commonly known and can be answered using existing knowledge without needing external data.",
Generate a suitable report summary of the information provided Inflation in the U.S. increased slightly from 2.9% in March to 3.6% in May.,Generate a suitable report summary of the information provided,Inflation in the U.S. increased slightly from 2.9% in March to 3.6% in May.,0,1.0,This query asks for a summary of specific information that is already provided in the query itself. The language model can generate a suitable report without needing external data.,
Write a blog post about why everyone should have a hobby nan,Write a blog post about why everyone should have a hobby,,0,1.0,"This query asks for help writing a blog post, which is a creative task that can be addressed with general knowledge and writing assistance without requiring specific external data.",
What are the best strategies for managing stress? nan,What are the best strategies for managing stress?,,0,1.0,"This question seeks general advice on a well-known topic, which can be answered using common knowledge without needing external information.",
Write a short paragraph describing a romantic date. nan,Write a short paragraph describing a romantic date.,,0,1.0,"This query asks for creative writing assistance to describe a romantic date, which does not require external factual data but can be handled by the language model's general knowledge and creative capabilities.",
Generate a pun related to solar energy. nan,Generate a pun related to solar energy.,,0,1.0,"This query asks for creative wordplay related to solar energy, which can be generated using general knowledge and language creativity without requiring external data.",
Correct the grammar in this sentence. I have drove a car.,Correct the grammar in this sentence.,I have drove a car.,0,1.0,"Grammar correction involves applying standard grammatical rules, which a language model is equipped to handle without requiring external information.",
Compare traveling by train and traveling by car. nan,Compare traveling by train and traveling by car.,,0,1.0,"This query asks for a general comparison between two modes of transportation, which can be answered using common knowledge without needing external data.",
Change the following sentences so they use the third person point of view. I am swimming in the pool.,Change the following sentences so they use the third person point of view.,I am swimming in the pool.,0,1.0,"This query asks for a grammatical transformation of sentences from first-person to third-person point of view, which is a task that can be performed by the language model using its internal knowledge and rules without requiring external data retrieval.",
Make a list of five contrasting behaviors people demonstrate in different situations. nan,Make a list of five contrasting behaviors people demonstrate in different situations.,,0,1.0,This query asks for a list of behaviors that are likely common knowledge and can be generated by the model's existing knowledge without requiring external data.,
Compose a musical piece that lasts 1 minute. nan,Compose a musical piece that lasts 1 minute.,,0,1.0,"The query asks for help in creating music, which is a generative task that can be addressed by providing guidance or ideas without the need for external factual data.",
"Classify the following statement as true or false:  ""A healthy diet consists of only vegetables and fruit."" nan","Classify the following statement as true or false:  ""A healthy diet consists of only vegetables and fruit.""",,0,1.0,"Evaluating whether a statement is true or false can often rely on general knowledge without requiring external data. In this case, the claim is based on common dietary understanding.",
"Is the following sentence grammatically correct? Output 0 for incorrect, 1 for correct. I was run around the block","Is the following sentence grammatically correct? Output 0 for incorrect, 1 for correct.",I was run around the block,1,1.0,"The query asks for a grammatical correctness check of ""I was run around the block."" This can be determined by evaluating sentence structure, making it retrieval not needed.",
Provide an example of what a tweet associated with the hashtag #MyDayIn140Characterswould look like nan,Provide an example of what a tweet associated with the hashtag #MyDayIn140Characterswould look like,,0,1.0,"This query asks for a creative example of a tweet with a specific hashtag, which can be generated by the model using its internal capabilities without requiring external data retrieval.",
"In the given scenario, predict the probability of the person suffering from Diabetes. Person aged 58, smokes 30 cigarettes a day, drinks alcohol, overweight","In the given scenario, predict the probability of the person suffering from Diabetes.","Person aged 58, smokes 30 cigarettes a day, drinks alcohol, overweight",1,1.0,Predicting diabetes risk involves specific medical factors that require access to specialized algorithms or datasets trained on medical data to provide an accurate probability.,
"Given this excerpt, suggest a topic for its readers:

The use of blockchain technology has been increasing significantly over the last few years due to its scalability, security, and reliability. nan","Given this excerpt, suggest a topic for its readers:

The use of blockchain technology has been increasing significantly over the last few years due to its scalability, security, and reliability.",,0,1.0,"The query asks to suggest a topic based on the provided excerpt about blockchain technology. Since the excerpt already provides the necessary context (scalability, security, reliability), the language model can infer the appropriate topic without requiring external information.",
Describe the experience of going to a restaurant. nan,Describe the experience of going to a restaurant.,,0,1.0,"The query requests a general description of dining out, which a language model can answer using common knowledge without requiring external information.",
Construct a timeline of major events in the life of the musician Elvis Presley nan,Construct a timeline of major events in the life of the musician Elvis Presley,,1,1.0,"This query asks for a detailed and specific timeline of events in Elvis Presley's life, which requires accessing factual data about dates and significant milestones that are best retrieved from reliable sources.",
How would you phrase an apology to a friend? nan,How would you phrase an apology to a friend?,,0,1.0,"This query seeks general advice on communication and can be answered using common knowledge about apologies, making external retrieval unnecessary.",
Where does the following information belong in a resume? Passionate about learning and committed to personal development,Where does the following information belong in a resume?,Passionate about learning and committed to personal development,0,1.0,"This query is about general advice on resume organization. The information provided is typically placed in sections like Summary or Objective, which most language models know without external data.",
List the benefits of educating young people about climate change. nan,List the benefits of educating young people about climate change.,,0,1.0,"This query seeks general ideas about the advantages of educating young people on climate change, something that can be addressed from common knowledge or reasoning without requiring external retrieval.",
Create a 100-word dialogue between two friends. nan,Create a 100-word dialogue between two friends.,,0,1.0,"This query asks for a creative writing task, specifically a dialogue between two friends, which can be generated by the language model without needing external data.",
Insert the words 'like' or 'as' to make a comparison. He ran the race,Insert the words 'like' or 'as' to make a comparison.,He ran the race,0,1.0,"This query involves a grammatical question about forming comparisons using ""like"" or ""as."" Such information is typically within the general knowledge of language models and does not require external data retrieval.",
Make a list of five healthy snacks. nan,Make a list of five healthy snacks.,,0,1.0,This query requests a generic list of items that is likely within the scope of general knowledge and does not require specific external information to answer.,
Suggest a way to practice time management. nan,Suggest a way to practice time management.,,0,1.0,"This query seeks advice on time management, which can be addressed using general knowledge about common techniques and strategies, without requiring specific external data.",
"Reorganize the following pieces of information into a well-structured outline. • Causes of Air Pollution 
• Health Risks associated with Air Pollution 
• Prevention Strategies",Reorganize the following pieces of information into a well-structured outline.,"• Causes of Air Pollution 
• Health Risks associated with Air Pollution 
• Prevention Strategies",0,1.0,"This query asks for organizing general knowledge topics into an outline, which can be done using common sense and standard categories without needing external data.",
Design an AI-based process to detect fraudulent activities in financial transactions. nan,Design an AI-based process to detect fraudulent activities in financial transactions.,,0,1.0,This query asks for a design approach that can be answered using general knowledge of AI techniques and fraud detection methods without requiring specialized external data.,
Name a famous painting or artwork. nan,Name a famous painting or artwork.,,0,1.0,"The query asks for a famous painting or artwork, which is a general knowledge question that most language models can answer using their built-in training data.",
Describe the nature of dark matter. nan,Describe the nature of dark matter.,,0,1.0,"The query asks for a general description of dark matter, which can be answered using established scientific knowledge without requiring external data retrieval.",
List the four components of the XP (Extreme Programming) software development process. nan,List the four components of the XP (Extreme Programming) software development process.,,1,1.0,"This query asks for a specific and detailed component list from the Extreme Programming (XP) methodology, which requires specialized knowledge or external resources to provide accurately.",
How is social media affecting communication? nan,How is social media affecting communication?,,0,1.0,"This query asks about the general effects of social media on communication, which can be addressed using common knowledge and analysis rather than requiring specific or updated factual information.",
Write a script for a 5-second advertisement describing the company. nan,Write a script for a 5-second advertisement describing the company.,,0,1.0,"This query involves creative writing to generate an advertisement script, which can be handled by the language model without requiring external information.",
Name two books that discuss the ethics of artificial intelligence. nan,Name two books that discuss the ethics of artificial intelligence.,,1,1.0,"The query asks for specific book titles on a particular topic, which requires access to external resources to provide accurate and up-to-date information.",
"From a given prompt, generate a sentence using words from the given word list. Prompt:
The cat was
Word List: slender, beguiling, bouncing","From a given prompt, generate a sentence using words from the given word list.","Prompt:
The cat was
Word List: slender, beguiling, bouncing",0,1.0,This task involves generating a sentence using given words and does not require external information; it is within the capabilities of a language model to construct such a response from its existing knowledge.,
Recommend a popular book for a 12-year-old. nan,Recommend a popular book for a 12-year-old.,,0,1.0,"The query asks for a recommendation based on general knowledge of children's literature, which the model can handle using its existing training data.",
"Restate the statement in conversational form: ""We must take actions to reduce global warming."" nan","Restate the statement in conversational form: ""We must take actions to reduce global warming.""",,0,1.0,"This query asks for a paraphrase of a given statement, which can be addressed through language generation and does not require accessing external factual data.",
Compare and contrast Google Home and Amazon Echo. nan,Compare and contrast Google Home and Amazon Echo.,,1,1.0,"This query requires a detailed analysis of two smart speakers' features, which necessitates specific external information to provide an accurate comparison.",
Calculate the area of a square with length 10m. Output a floating point number. nan,Calculate the area of a square with length 10m. Output a floating point number.,,0,1.0,This query involves a straightforward mathematical computation (area of a square) that can be solved using general knowledge and basic arithmetic without requiring external information.,
Develop a plan to recycle paper product waste. nan,Develop a plan to recycle paper product waste.,,0,1.0,"This query asks for a general plan that can be developed using standard knowledge and best practices in recycling, without requiring specific or detailed external information.",
Suggest 3 plant-based alternate ingredients for a given dish. Cheesecake,Suggest 3 plant-based alternate ingredients for a given dish.,Cheesecake,0,1.0,"The query asks for common plant-based substitutes that are well-known in vegan cooking, which a language model can provide from general knowledge without needing external data.",
Explain the difference between a rights issue and a bonus issue nan,Explain the difference between a rights issue and a bonus issue,,0,1.0,"The query asks for an explanation of two financial terms, which are likely within the general knowledge of a language model and do not require external retrieval for clarification.",
"Rewrite the following story with a different point of view. Mary was so excited to go to the beach. She packed her bag with snacks, beach umbrella, and her favorite swimsuit. Mary enjoyed her day at the beach, watching the waves, and collecting shells.",Rewrite the following story with a different point of view.,"Mary was so excited to go to the beach. She packed her bag with snacks, beach umbrella, and her favorite swimsuit. Mary enjoyed her day at the beach, watching the waves, and collecting shells.",0,1.0,"This query asks for a paraphrase or summary, which can be handled by the language model's general capabilities without needing external retrieval.",
Choose the correct answer: Is Pluto considered a planet in the Solar System? nan,Choose the correct answer: Is Pluto considered a planet in the Solar System?,,1,1.0,"This query asks for specific information about Pluto's classification as a planet, which is a factual matter that may require up-to-date knowledge from external sources.",
Describe a few advantages of using a neural network for machine learning. nan,Describe a few advantages of using a neural network for machine learning.,,0,1.0,"This query asks for general knowledge about neural networks in machine learning, which a language model can answer without needing external data.",
The number of degrees in the measures of the interior angles of a convex pentagon are five consecutive integers. What is the number of degrees in the largest angle? nan,The number of degrees in the measures of the interior angles of a convex pentagon are five consecutive integers. What is the number of degrees in the largest angle?,,0,1.0,This is a math problem that can be solved using geometric principles and formulas (sum of interior angles) without needing external data.,
Classify the following statement as belonging to the category of either clear or unclear writing The data analysis provided insights into the text accuracy.,Classify the following statement as belonging to the category of either clear or unclear writing,The data analysis provided insights into the text accuracy.,-1,0.0,,
Write an argumentative essay about why climate change is an urgent issue. nan,Write an argumentative essay about why climate change is an urgent issue.,,0,1.0,"This query asks for an argumentative essay about climate change, which is a task of summarization or composition that can be addressed using general knowledge and does not necessitate specific external data.",
Create a 5-word catchphrase associated with a space mission Apollo 11,Create a 5-word catchphrase associated with a space mission,Apollo 11,0,1.0,This query asks for a creative task (generating a catchphrase) that does not require external factual information but rather imagination and existing general knowledge about Apollo 11.,
"Categorize the following items into three classes: ""cold"", ""temperate"", and ""hot"". Cucumber, Coffee, Soup","Categorize the following items into three classes: ""cold"", ""temperate"", and ""hot"".","Cucumber, Coffee, Soup",0,1.0,"This query involves categorizing common items based on their typical temperature states, which can be answered using general knowledge without the need for external information.",
Construct a 5-day lesson plan teaching basic computer coding to middle-school students. nan,Construct a 5-day lesson plan teaching basic computer coding to middle-school students.,,0,1.0,"The task involves generating a structured lesson plan based on general knowledge of teaching methods and basic computer coding concepts, which can be done without requiring external factual data.",
Create a short story showcasing the friendship between two animals. nan,Create a short story showcasing the friendship between two animals.,,0,1.0,"This query asks for a creative writing task, which does not require specific factual information and can be handled by the language model's ability to generate text.",
Tell me why a GPT model is useful for generating text. nan,Tell me why a GPT model is useful for generating text.,,0,1.0,"This query asks for an explanation about GPT models' utility in text generation, which is a general topic that a language model can address using its built-in knowledge and doesn't require external data retrieval.",
"Write a sentence using the phrase ""the possibilities are endless"". nan","Write a sentence using the phrase ""the possibilities are endless"".",,0,1.0,"This query asks for a creative task (writing a sentence) using a given phrase, which can be accomplished without external information by generating text from general knowledge or imagination.",
"Compose a haiku using the words given in the input. stars, night, bright",Compose a haiku using the words given in the input.,"stars, night, bright",0,1.0,"The task is creative writing (haiku composition) based on given words, which doesn't require external factual data.",
How do I cook a perfect poached egg? nan,How do I cook a perfect poached egg?,,0,1.0,Cooking techniques like poaching eggs are common knowledge and can be answered using general information without requiring external sources.,
Come up with a story about a group of stranded adventurers. nan,Come up with a story about a group of stranded adventurers.,,0,1.0,"This query asks for a creative task (story generation) rather than specific factual information, so retrieval isn't needed.",
Create a list of questions to answer nan,Create a list of questions to answer,,0,1.0,"The query asks for a list of questions about ""nan,"" which is a common term in computing (e.g., Not a Number). A language model can generate such questions based on its general knowledge without needing external data.",
Explain in your own words what Active Learning is. nan,Explain in your own words what Active Learning is.,,0,1.0,The query asks for an explanation of a well-known concept in education and machine learning. This can be answered using general knowledge without needing external data.,
"Come up with a creative example of using the following idiom ""the best of both worlds"". nan","Come up with a creative example of using the following idiom ""the best of both worlds"".",,0,1.0,"This query asks for a creative example of an idiom, which can be generated by the language model using its knowledge of common idiomatic expressions and applying them in a novel context without requiring external data.",
Name two sports that were top of the bill before the 20th century. nan,Name two sports that were top of the bill before the 20th century.,,0,1.0,"This query asks about well-known sports from a historical period, which can be answered using general knowledge without needing external sources.",
When did fall of the Berlin Wall take place? nan,When did fall of the Berlin Wall take place?,,0,1.0,"The fall of the Berlin Wall occurred on a well-known historical date (November 9, 1989), which is part of common knowledge and does not require external retrieval to answer.",
Identify the important elements in a job reference letter nan,Identify the important elements in a job reference letter,,0,1.0,"The query asks about the standard elements found in a job reference letter, which are well-known and can be answered using general knowledge without requiring external retrieval.",
Create an algorithm that reverses a string and explain how it works in a paragraph. nan,Create an algorithm that reverses a string and explain how it works in a paragraph.,,0,1.0,"This query asks for the creation and explanation of an algorithm to reverse a string, which is a generic problem-solving task. The steps involve understanding string manipulation, typically taught in programming basics, and do not require external factual data.",
What types of flora is found in the temperate rainforest? nan,What types of flora is found in the temperate rainforest?,,1,1.0,"This query seeks specific botanical information about temperate rainforest ecosystems, which typically requires factual data beyond general knowledge.",
Name 3 programming languages nan,Name 3 programming languages,,0,1.0,"The query asks for examples of programming languages, which are common general knowledge and can be answered by a language model without external data.",
Create a character sketch of Luke Skywalker nan,Create a character sketch of Luke Skywalker,,0,1.0,"The query seeks a description of a famous fictional character whose details are likely known by the language model, making retrieval unnecessary.",
Outline the different types of Hinduism. nan,Outline the different types of Hinduism.,,0,1.0,"This query asks for an overview of the types of Hinduism, which is a broad and commonly known topic. A language model can provide a general outline without requiring external data.",
Generate a unique story featuring two characters and a moral lesson. nan,Generate a unique story featuring two characters and a moral lesson.,,0,1.0,This query asks for a creative writing task that does not require specific or detailed information; it can be addressed through the model's own capabilities in generating content.,
Come up with a true or false question about the given text. The temperature of the sun's core is estimated to be around 15 million Kelvin.,Come up with a true or false question about the given text.,The temperature of the sun's core is estimated to be around 15 million Kelvin.,0,1.0,"This task involves generating a true/false question from provided text, which can be done without external retrieval as the necessary information is already given.",
Describe a dance performance nan,Describe a dance performance,,0,1.0,"The query asks for a general description of a dance performance, which can be answered using the model's existing knowledge without requiring external data.",
Determine the significance of this piece of news. A new law has been proposed in the state government to allow employees to have more input in their working environment.,Determine the significance of this piece of news.,A new law has been proposed in the state government to allow employees to have more input in their working environment.,0,1.0,"This query asks for an analysis of the significance of a proposed law, which is a task that involves reasoning and interpretation rather than requiring specific factual data. It can be addressed using general knowledge about workplace dynamics and policy impacts.",
"You are provided with the following text, spell-check the text and output the corrected version The qick brown fox jupms over the layzy dog.","You are provided with the following text, spell-check the text and output the corrected version",The qick brown fox jupms over the layzy dog.,0,1.0,"This query involves spell-checking and correcting a given text, which can be done using the language model's internal dictionary and grammar knowledge without requiring external data.",
Write a thank you letter to a colleague for helping you with your project. nan,Write a thank you letter to a colleague for helping you with your project.,,0,1.0,"The query is about seeking guidance on composing a thank you letter, which is a general task that can be addressed using standard language model capabilities without requiring external data.",
Create a prompt that can be used to generate a story. nan,Create a prompt that can be used to generate a story.,,0,1.0,"This query is about generating a creative prompt for storytelling, which can be addressed using general knowledge and creativity without needing external data.",
Classify this emotion as one of the four basic emotions. The man was fearful of his future.,Classify this emotion as one of the four basic emotions.,The man was fearful of his future.,0,1.0,"This query asks for classification within a well-known framework (the four basic emotions), which can be answered using general knowledge without requiring external retrieval.",
Describe a process of how to make scrambled eggs nan,Describe a process of how to make scrambled eggs,,0,1.0,"The query asks for a process to make scrambled eggs, which is a common recipe and can be answered using general cooking knowledge without needing external data.",
Explain the benefits of slow fashion. nan,Explain the benefits of slow fashion.,,0,1.0,The benefits of slow fashion relate to general principles of sustainability that can be explained from the model's existing knowledge without needing external information.,
"Summarize the article ""Rational Thinking During Crisis"" in one sentence. The article explains the importance of rational thinking and taking a scientific approach when dealing with crises.","Summarize the article ""Rational Thinking During Crisis"" in one sentence.",The article explains the importance of rational thinking and taking a scientific approach when dealing with crises.,0,1.0,This query asks for a summary of an article whose content is already provided in the query. The task can be accomplished using general summarization skills without needing external information.,
Name three features of a self-driving car. nan,Name three features of a self-driving car.,,0,1.0,"This query asks for general knowledge about self-driving cars and their common features, which can be answered using known information without needing external data retrieval.",
Write a one-paragraph summary about Isaac Newton's mathematical discoveries. nan,Write a one-paragraph summary about Isaac Newton's mathematical discoveries.,,0,1.0,"This query asks for a summary of well-known mathematical discoveries by Isaac Newton, which can be answered using general knowledge and does not require external retrieval.",
Calculate the total number of hours from 10am yesterday to 8pm today. nan,Calculate the total number of hours from 10am yesterday to 8pm today.,,0,1.0,"This query involves a straightforward time calculation that can be solved with basic arithmetic and understanding of the 24-hour clock, requiring no external information.",
Provide an example of a celebrity who is famous for their hard work. nan,Provide an example of a celebrity who is famous for their hard work.,,0,1.0,"This query asks for a well-known example of a celebrity recognized for hard work, which can be answered using general knowledge without the need for external retrieval.",
"Given a customer's feedback, write a reply to address their issue. Customer feedback:
""The delivery process was quite slow compared to my past experience.""","Given a customer's feedback, write a reply to address their issue.","Customer feedback:
""The delivery process was quite slow compared to my past experience.""",0,1.0,This query is about generating a generic reply based on typical customer service procedures and can be handled by general knowledge.,
"Sort the following words by the first letter of their spelling in the English alphabet. Yahoo, Xanthum, Wolf, Zebra",Sort the following words by the first letter of their spelling in the English alphabet.,"Yahoo, Xanthum, Wolf, Zebra",0,1.0,"This query involves sorting words alphabetically based on their starting letters, which is a general task that does not require external information and can be answered using basic knowledge of the English alphabet.",
Rewrite the following line with stronger language. The food was average.,Rewrite the following line with stronger language.,The food was average.,0,1.0,This task involves rewriting text and does not require specific external information; it can be addressed by the model's ability to paraphrase.,
Generate a multiple-choice question about renewable energy. nan,Generate a multiple-choice question about renewable energy.,,0,1.0,This task involves creating a question based on general knowledge about renewable energy and does not require specific factual information retrieval.,
"Identify which animal in the following text is a reptile and explain what characteristics make it a reptile. The zoo was home to a wide variety of creatures, including a vibrantly colored tree frog, a red-footed tortoise with stunning patterns on its shell, and a fluffy rabbit with soft, huggable fur.",Identify which animal in the following text is a reptile and explain what characteristics make it a reptile.,"The zoo was home to a wide variety of creatures, including a vibrantly colored tree frog, a red-footed tortoise with stunning patterns on its shell, and a fluffy rabbit with soft, huggable fur.",0,1.0,"The query asks to identify a reptile from a given text and explain its characteristics. Since the red-footed tortoise is clearly identified as a reptile in general knowledge, no external retrieval is needed.",
Name 3 books that have won the Nobel Prize in Literature. nan,Name 3 books that have won the Nobel Prize in Literature.,,1,1.0,"This query asks for specific titles of books that have won a particular award, requiring detailed and precise factual information that is not generally known without external data.",
What is the idiom in this sentence? He kept a cool head in the middle of the storm.,What is the idiom in this sentence?,He kept a cool head in the middle of the storm.,0,1.0,"This question involves recognizing a common idiom, which a language model can answer using its built-in knowledge without needing to retrieve external information.",
"In the given text, identify the verb and the subject of the sentence. The young girl was singing a song.","In the given text, identify the verb and the subject of the sentence.",The young girl was singing a song.,0,1.0,"This query asks for the identification of grammatical components (subject and verb) in a given sentence, which can be answered using general linguistic knowledge without needing external data.",
List the ingredients of the dish. Tom Yum Soup.,List the ingredients of the dish.,Tom Yum Soup.,0,1.0,"The query asks for a list of standard ingredients typically found in Tom Yum Soup, which is a well-known dish and likely within the general knowledge of a language model.",
Produce a design mockup for a mobile game app. nan,Produce a design mockup for a mobile game app.,,0,1.0,This query seeks a design concept or description that can be provided using existing knowledge and creativity without requiring external data retrieval.,
"Brainstorm a list of 5 possible causes of the ""Fog of War"" phenomenon. nan","Brainstorm a list of 5 possible causes of the ""Fog of War"" phenomenon.",,0,1.0,"This query asks for creative ideas (brainstorming) on possible causes of a known concept (""Fog of War""). Since it does not require specific external data but rather imaginative thinking, retrieval is not needed.",
"What is the meaning of the phrase ""on an even keel"", output the explanation. nan","What is the meaning of the phrase ""on an even keel"", output the explanation.",,0,1.0,"The phrase ""on an even keel"" is a well-known idiom in English, typically referring to being calm and steady. This common expression doesn't require fact-checking or specialized information; it's likely known by most speakers.",
Transform a positive statement into a negative one. I will succeed.,Transform a positive statement into a negative one.,I will succeed.,0,1.0,"This query involves transforming a sentence structure from positive to negative, which is a general linguistic task that does not require external factual information and can be answered using the language model's inherent knowledge.",
Explain why magma is more dense than lava nan,Explain why magma is more dense than lava,,0,1.0,"This question can be answered by explaining the difference in pressure and gas content between underground magma and surface lava, relying on known geological knowledge.",
"Find the index of the element “pineapple” in the list. [""apple"", ""banana"", ""pear"", ""pineapple""]",Find the index of the element “pineapple” in the list.,"[""apple"", ""banana"", ""pear"", ""pineapple""]",0,1.0,"The query provides a specific list and asks for an index lookup. Since all necessary information is included in the query, no external retrieval is needed.",
Come up with a unique and humorous way to describe the president of your country nan,Come up with a unique and humorous way to describe the president of your country,,0,1.0,"This query involves creative writing and humor without requiring specific factual information, so it can be addressed with general knowledge or imagination.",
Write a comment apologising to a customer for a delay in their delivery. nan,Write a comment apologising to a customer for a delay in their delivery.,,0,1.0,This query involves creating a generic apology message that can be constructed using standard language and templates without requiring external data or specific factual knowledge.,
Explain what the basis of the First Amendment is. nan,Explain what the basis of the First Amendment is.,,0,1.0,"This query seeks a high-level explanation of foundational principles, which a language model can provide based on its general knowledge.",
"Analyze the following sentence: ""He was unusually tall for his age."" He was unusually tall for his age.","Analyze the following sentence: ""He was unusually tall for his age.""",He was unusually tall for his age.,0,1.0,"This query asks for an analysis of a sentence, which is a task that can be performed using linguistic understanding without requiring external factual data.",
