query,instruction,context,predicted_label,confidence,reasoning
What are some tools that every homeowner should have? ,What are some tools that every homeowner should have?,,1,1.0,"This query asks for a list of specific tools, which likely requires referencing external sources like home improvement guides or product recommendations."
Is banana a flower or a fruit? ,Is banana a flower or a fruit?,,0,1.0,This is a common science question that can be answered based on general knowledge about botany. Most language models would know that a banana is botanically a fruit.
"Tell me which of the following circumstances warrant calling 911: fridge runs out of food, micro kitchen runs out of slacks, someone gets hit by a car, a child is drowning in a public pool, your saving account runs out of money, someone carries assault weapons into campus. ","Tell me which of the following circumstances warrant calling 911: fridge runs out of food, micro kitchen runs out of slacks, someone gets hit by a car, a child is drowning in a public pool, your saving account runs out of money, someone carries assault weapons into campus.",,1,1.0,
"Classify the cities based on whether they are located in Wallis and Futuna or Morocco.
Casablanca, El Kelaa des Srarhna, Mata-Utu, Fès, Leava ","Classify the cities based on whether they are located in Wallis and Futuna or Morocco.
Casablanca, El Kelaa des Srarhna, Mata-Utu, Fès, Leava",,1,1.0,"This query requires knowing the geographical locations of specific cities, which is a factual lookup that necessitates external geographical data."
What is a tornado? ,What is a tornado?,,0,1.0,This is a general knowledge question about a natural phenomenon. A language model should be able to provide a definition of a tornado from its existing knowledge base.
"Given the following paragraph, where did House music originate? House is a music genre characterized by a repetitive four-on-the-floor beat and a typical tempo of 120 beats per minute. It was created by DJs and music producers from Chicago's underground club culture in the early/mid 1980s, as DJs began altering disco songs to give them a more mechanical beat.

House was pioneered by African American DJs and producers in Chicago such as Frankie Knuckles, Ron Hardy, Jesse Saunders, Chip E., Joe Smooth, Steve ""Silk"" Hurley, Farley ""Jackmaster"" Funk, Marshall Jefferson, Phuture, and others. House music expanded to other cities such as London, then New York City and became a worldwide phenomenon.","Given the following paragraph, where did House music originate?","House is a music genre characterized by a repetitive four-on-the-floor beat and a typical tempo of 120 beats per minute. It was created by DJs and music producers from Chicago's underground club culture in the early/mid 1980s, as DJs began altering disco songs to give them a more mechanical beat.

House was pioneered by African American DJs and producers in Chicago such as Frankie Knuckles, Ron Hardy, Jesse Saunders, Chip E., Joe Smooth, Steve ""Silk"" Hurley, Farley ""Jackmaster"" Funk, Marshall Jefferson, Phuture, and others. House music expanded to other cities such as London, then New York City and became a worldwide phenomenon.",0,1.0,The answer to the query is explicitly stated in the provided paragraph: Chicago.
What high school did Paul Allen and Bill Gates attend? ,What high school did Paul Allen and Bill Gates attend?,,1,1.0,"This query requires specific factual information about the educational history of Paul Allen and Bill Gates, which is unlikely to be known by a language model without external data."
Give me a bulleted list of things to consider when deciding where to apply to college. ,Give me a bulleted list of things to consider when deciding where to apply to college.,,0,1.0,"This query requests a list of general considerations, which can be generated based on common knowledge about college applications rather than requiring specific external data."
"Based on this paragraph when was the last time we sent them to space? Tardigrades are the first known animal to survive after exposure to outer space. In September 2007, dehydrated tardigrades were taken into low Earth orbit on the FOTON-M3 mission carrying the BIOPAN astrobiology payload. For 10 days, groups of tardigrades, some of them previously dehydrated, some of them not, were exposed to the hard vacuum of outer space, or vacuum and solar UV radiation. Back on Earth, more than 68% of the subjects protected from solar UV radiation were reanimated within 30 minutes following rehydration, although subsequent mortality was high; many of these produced viable embryos. In contrast, hydrated samples exposed to the combined effect of vacuum and full solar UV radiation had significantly reduced survival, with only three subjects of Milnesium tardigradum surviving. Also, it was found that the space vacuum did not have a significant effect on egg-laying in either R. coronifer or M. tardigradum. However, M. tardigradum exposed to UV radiation had a lower egg laying rate. In May 2011, Italian scientists sent tardigrades on board the International Space Station along with extremophiles on STS-134, the final flight of Space Shuttle Endeavour. Their conclusion was that microgravity and cosmic radiation ""did not significantly affect survival of tardigrades in flight, and stated that tardigrades represent a useful animal for space research."" In November 2011, they were among the organisms to be sent by the U.S.-based Planetary Society on the Russian Fobos-Grunt mission's Living Interplanetary Flight Experiment to Phobos; however, the launch failed. In August 2019, scientists reported that a capsule containing tardigrades in a cryptobiotic state may have survived for a while on the Moon after the April 2019 crash landing of Beresheet, a failed Israeli lunar lander, but in May 2021 it was reported that they were unlikely to have survived the impact.",Based on this paragraph when was the last time we sent them to space?,"Tardigrades are the first known animal to survive after exposure to outer space. In September 2007, dehydrated tardigrades were taken into low Earth orbit on the FOTON-M3 mission carrying the BIOPAN astrobiology payload. For 10 days, groups of tardigrades, some of them previously dehydrated, some of them not, were exposed to the hard vacuum of outer space, or vacuum and solar UV radiation. Back on Earth, more than 68% of the subjects protected from solar UV radiation were reanimated within 30 minutes following rehydration, although subsequent mortality was high; many of these produced viable embryos. In contrast, hydrated samples exposed to the combined effect of vacuum and full solar UV radiation had significantly reduced survival, with only three subjects of Milnesium tardigradum surviving. Also, it was found that the space vacuum did not have a significant effect on egg-laying in either R. coronifer or M. tardigradum. However, M. tardigradum exposed to UV radiation had a lower egg laying rate. In May 2011, Italian scientists sent tardigrades on board the International Space Station along with extremophiles on STS-134, the final flight of Space Shuttle Endeavour. Their conclusion was that microgravity and cosmic radiation ""did not significantly affect survival of tardigrades in flight, and stated that tardigrades represent a useful animal for space research."" In November 2011, they were among the organisms to be sent by the U.S.-based Planetary Society on the Russian Fobos-Grunt mission's Living Interplanetary Flight Experiment to Phobos; however, the launch failed. In August 2019, scientists reported that a capsule containing tardigrades in a cryptobiotic state may have survived for a while on the Moon after the April 2019 crash landing of Beresheet, a failed Israeli lunar lander, but in May 2021 it was reported that they were unlikely to have survived the impact.",1,1.0,
"Using the passage, please give some critical impacts that Twenty20 format had on the game of cricket? Twenty20 cricket is claimed to have resulted in a more athletic and explosive form of cricket. Indian fitness coach Ramji Srinivasan declared in an interview with the Indian fitness website Takath.com that Twenty20 had ""raised the bar"" in terms of fitness levels for all players, demanding higher levels of strength, speed, agility and reaction time from all players regardless of role in the team. Matthew Hayden credited retirement from international cricket with aiding his performance in general and fitness in particular in the Indian Premier League.

In June 2009, speaking at the annual Cowdrey Lecture at Lord's, former Australian wicketkeeper Adam Gilchrist pushed for Twenty20 to be made an Olympic sport. ""It would,"" he said, ""be difficult to see a better, quicker or cheaper way of spreading the game throughout the world."" In a similar vein, several commentators have noted that the T20 format has been embraced by many Associate members of the ICC partly because it is more financially viable to play.

Former Australian captain Ricky Ponting, on the other hand, has criticized Twenty20 as being detrimental to Test cricket and for hampering batsmen's scoring skills and concentration. Former Australian captain Greg Chappell made similar complaints, fearing that young players would play too much T20 and not develop their batting skills fully, while former England player Alex Tudor feared the same for bowling skills.

Former West Indies captains Clive Lloyd, Michael Holding and Garfield Sobers criticised Twenty20 for its role in discouraging players from representing their test cricket national side, with many West Indies players like Chris Gayle, Sunil Narine and Dwayne Bravo preferring instead to play in a Twenty20 franchise elsewhere in the world and make far more money.","Using the passage, please give some critical impacts that Twenty20 format had on the game of cricket?","Twenty20 cricket is claimed to have resulted in a more athletic and explosive form of cricket. Indian fitness coach Ramji Srinivasan declared in an interview with the Indian fitness website Takath.com that Twenty20 had ""raised the bar"" in terms of fitness levels for all players, demanding higher levels of strength, speed, agility and reaction time from all players regardless of role in the team. Matthew Hayden credited retirement from international cricket with aiding his performance in general and fitness in particular in the Indian Premier League.

In June 2009, speaking at the annual Cowdrey Lecture at Lord's, former Australian wicketkeeper Adam Gilchrist pushed for Twenty20 to be made an Olympic sport. ""It would,"" he said, ""be difficult to see a better, quicker or cheaper way of spreading the game throughout the world."" In a similar vein, several commentators have noted that the T20 format has been embraced by many Associate members of the ICC partly because it is more financially viable to play.

Former Australian captain Ricky Ponting, on the other hand, has criticized Twenty20 as being detrimental to Test cricket and for hampering batsmen's scoring skills and concentration. Former Australian captain Greg Chappell made similar complaints, fearing that young players would play too much T20 and not develop their batting skills fully, while former England player Alex Tudor feared the same for bowling skills.

Former West Indies captains Clive Lloyd, Michael Holding and Garfield Sobers criticised Twenty20 for its role in discouraging players from representing their test cricket national side, with many West Indies players like Chris Gayle, Sunil Narine and Dwayne Bravo preferring instead to play in a Twenty20 franchise elsewhere in the world and make far more money.",0,1.0,The query asks for critical impacts of Twenty20 cricket based on a provided passage. The answer can be derived directly from the text without needing external information.
What are the two longest rivers located in the United States? ,What are the two longest rivers located in the United States?,,1,1.0,"This query requires specific factual information about the lengths of rivers in the United States, which is unlikely to be stored within a typical language model's general knowledge."
Who is the largest employer in the world? ,Who is the largest employer in the world?,,1,1.0,"This query requires identifying a specific company based on a factual criterion (largest employer), which likely involves accessing up-to-date employment data from external sources."
"Which characters belong to DC or Marvel Universe? She-Hulk, Wonder Woman ","Which characters belong to DC or Marvel Universe? She-Hulk, Wonder Woman",,1,1.0,"This query requires knowledge of specific characters and their respective comic book universes, which is a factual lookup that likely necessitates an external database of comic book information."
"List all former departments that were formerly Cabinet-level in the United States. Former executive and Cabinet-level departments
Department of War (1789–1947), headed by the secretary of war: renamed Department of the Army by the National Security Act of 1947.
Department of the Navy (1798–1949), headed by the secretary of the Navy: became a military department within the Department of Defense.
Post Office Department (1829–1971), headed by the postmaster general: reorganized as the United States Postal Service, an independent agency.
National Military Establishment (1947–1949), headed by the secretary of Defense: created by the National Security Act of 1947 and recreated as the Department of Defense in 1949.
Department of the Army (1947–1949), headed by the secretary of the Army: became a military department within the Department of Defense.
Department of the Air Force (1947–1949), headed by the secretary of the Air Force: became a military department within the Department of Defense.",List all former departments that were formerly Cabinet-level in the United States.,"Former executive and Cabinet-level departments
Department of War (1789–1947), headed by the secretary of war: renamed Department of the Army by the National Security Act of 1947.
Department of the Navy (1798–1949), headed by the secretary of the Navy: became a military department within the Department of Defense.
Post Office Department (1829–1971), headed by the postmaster general: reorganized as the United States Postal Service, an independent agency.
National Military Establishment (1947–1949), headed by the secretary of Defense: created by the National Security Act of 1947 and recreated as the Department of Defense in 1949.
Department of the Army (1947–1949), headed by the secretary of the Army: became a military department within the Department of Defense.
Department of the Air Force (1947–1949), headed by the secretary of the Air Force: became a military department within the Department of Defense.",0,1.0,"The query is asking for a list of former departments, and the provided text already lists them. No external retrieval is needed."
What is a Peloton in a bicycle race? ,What is a Peloton in a bicycle race?,,1,1.0,"This query requires specific knowledge about cycling terminology and race dynamics, which is unlikely to be part of a general language model's knowledge base."
How to start a side hustle ,How to start a side hustle,,0,1.0,
"Extract a list of calendars mentioned and display the names in valid, well-formatted JSON The course of the sun and the moon are the most salient regularly recurring natural events useful for timekeeping, and in pre-modern societies around the world lunation and the year were most commonly used as time units. Nevertheless, the Roman calendar contained remnants of a very ancient pre-Etruscan 10-month solar year.

The first recorded physical calendars, dependent on the development of writing in the Ancient Near East, are the Bronze Age Egyptian and Sumerian calendars.

During the Vedic period India developed a sophisticated timekeeping methodology and calendars for Vedic rituals. According to Yukio Ohashi, the Vedanga calendar in ancient India was based on astronomical studies during the Vedic Period and was not derived from other cultures.

A large number of calendar systems in the Ancient Near East were based on the Babylonian calendar dating from the Iron Age, among them the calendar system of the Persian Empire, which in turn gave rise to the Zoroastrian calendar and the Hebrew calendar.[citation needed]","Extract a list of calendars mentioned and display the names in valid, well-formatted JSON","The course of the sun and the moon are the most salient regularly recurring natural events useful for timekeeping, and in pre-modern societies around the world lunation and the year were most commonly used as time units. Nevertheless, the Roman calendar contained remnants of a very ancient pre-Etruscan 10-month solar year.

The first recorded physical calendars, dependent on the development of writing in the Ancient Near East, are the Bronze Age Egyptian and Sumerian calendars.

During the Vedic period India developed a sophisticated timekeeping methodology and calendars for Vedic rituals. According to Yukio Ohashi, the Vedanga calendar in ancient India was based on astronomical studies during the Vedic Period and was not derived from other cultures.

A large number of calendar systems in the Ancient Near East were based on the Babylonian calendar dating from the Iron Age, among them the calendar system of the Persian Empire, which in turn gave rise to the Zoroastrian calendar and the Hebrew calendar.[citation needed]",1,1.0,
What's the capital of Brazil? ,What's the capital of Brazil?,,1,1.0,This query asks for a specific geographical fact (the capital city of a country) which is unlikely to be known by a language model without accessing external knowledge.
"Is it true that Lewis Hamilton won the championship in his first F1 season? Hamilton's first season in Formula One saw him partner two-time and defending World Champion Fernando Alonso. Hamilton is the first and, as of 2022, the only black driver to race in the series. After finishing on the podium in his debut, Hamilton went on to set several records as he finished runner-up in the 2007 World Drivers' Championship to Kimi Räikkönen by one point, including those for the most consecutive podium finishes from debut (9), the joint most wins in a debut season (4) and the most points in a debut season (109). Throughout the season, Hamilton and Alonso were involved in a number of incidents which resulted in tensions between both drivers and the team, culminating in Alonso and McLaren terminating their contract by mutual consent in November. Following a successful first season at McLaren, Hamilton signed a multi-million-pound contract to stay with the team until 2012.",Is it true that Lewis Hamilton won the championship in his first F1 season?,"Hamilton's first season in Formula One saw him partner two-time and defending World Champion Fernando Alonso. Hamilton is the first and, as of 2022, the only black driver to race in the series. After finishing on the podium in his debut, Hamilton went on to set several records as he finished runner-up in the 2007 World Drivers' Championship to Kimi Räikkönen by one point, including those for the most consecutive podium finishes from debut (9), the joint most wins in a debut season (4) and the most points in a debut season (109). Throughout the season, Hamilton and Alonso were involved in a number of incidents which resulted in tensions between both drivers and the team, culminating in Alonso and McLaren terminating their contract by mutual consent in November. Following a successful first season at McLaren, Hamilton signed a multi-million-pound contract to stay with the team until 2012.",1,1.0,"The query asks for a specific factual statement about Lewis Hamilton's first F1 season, requiring retrieval of information about his championship standing in that year."
Is homekit's are necessary for a home? ,Is homekit's are necessary for a home?,,0,1.0,This is a subjective opinion-based question rather than a query requiring specific factual information.
"Is he still an active football player? Mariano Sánchez Martínez (born 28 January 1978) is a Spanish former professional footballer who played as a defensive midfielder.

He appeared in 108 Segunda División games over three seasons, scoring two goals for Cartagena.

Club career
Born in San Pedro del Pinatar, Region of Murcia, Sánchez did not reach the Segunda División B until he was 26, in 2004, arriving at CD Alcoyano from amateurs AD Mar Menor-San Javier. In the following year he moved to another club at that level, FC Cartagena, helping it promote to Segunda División in his fourth season.

Sánchez made his debut in the competition on 29 August 2009 at the age of 31 years and seven months, playing the full 90 minutes in a 1–0 away win against Girona FC. He scored his first league goal on 22 May 2010 in the 3–5 home loss to Levante UD, and never appeared in less than 34 league matches during his three seasons in that tier, suffering relegation in his last and renewing his contract for a further two years in June 2012.

On 14 May 2014, the 36-year-old Sánchez announced he would retire at the end of the campaign while hoping to help his team promote, which eventually did not befell.

Personal life
Sánchez rejected an offer to play youth football for Real Murcia when he was 18, after deciding to move to Madrid to study architecture. Not being able to enter Real Madrid's youth system, he chose to retire from football.

After his playing days, Sánchez continued to work as an architect. Still as an active player, he was the figurehead behind the creation of the sports complex Pinatar Arena, in his hometown.",Is he still an active football player?,"Mariano Sánchez Martínez (born 28 January 1978) is a Spanish former professional footballer who played as a defensive midfielder.

He appeared in 108 Segunda División games over three seasons, scoring two goals for Cartagena.

Club career
Born in San Pedro del Pinatar, Region of Murcia, Sánchez did not reach the Segunda División B until he was 26, in 2004, arriving at CD Alcoyano from amateurs AD Mar Menor-San Javier. In the following year he moved to another club at that level, FC Cartagena, helping it promote to Segunda División in his fourth season.

Sánchez made his debut in the competition on 29 August 2009 at the age of 31 years and seven months, playing the full 90 minutes in a 1–0 away win against Girona FC. He scored his first league goal on 22 May 2010 in the 3–5 home loss to Levante UD, and never appeared in less than 34 league matches during his three seasons in that tier, suffering relegation in his last and renewing his contract for a further two years in June 2012.

On 14 May 2014, the 36-year-old Sánchez announced he would retire at the end of the campaign while hoping to help his team promote, which eventually did not befell.

Personal life
Sánchez rejected an offer to play youth football for Real Murcia when he was 18, after deciding to move to Madrid to study architecture. Not being able to enter Real Madrid's youth system, he chose to retire from football.

After his playing days, Sánchez continued to work as an architect. Still as an active player, he was the figurehead behind the creation of the sports complex Pinatar Arena, in his hometown.",1,1.0,
"What the the effects of houseplants? Houseplants do not have an appreciable effect on the concentration of volatile organic compounds (VOCs) in normal home environments: it would require between 10 and 1000 houseplants per square meter to achieve the same level of VOC removal as occurs from passive exchange between indoor and outdoor air. 

The idea that houseplants have an appreciable effect on indoor air quality is largely based on the Clean Air Study conducted by NASA in the 1980s. The study tested plants in sealed chambers and with highly elevated levels of volatile organic compounds (specifically benzene, trichloroethylene and formaldehyde). It concluded that to the extent that houseplants improve air quality, the mechanism of action is microorganisms within the potting soil, rather than the plants themselves.

Houseplants do have a statistically significant effect on the concentrations of both carbon monoxide and carbon dioxide in normal indoor environments, reducing carbon dioxide levels by 10-25% and carbon monoxide levels by up to 90%.  The effect has been investigated by NASA for use in spacecraft.

Plants also appear to increase the number and diversity of bacteria in homes, while reducing fungal diversity. They tend to increase humidity, reduce temperature swings, and reduce noise.

There are also many claimed psychological and physiological benefits to having houseplants. A critical review of the experimental literature concluded ""The reviewed studies suggest that indoor plants can provide psychological benefits such as stress-reduction and increased pain tolerance. However, they also showed substantial heterogeneity in methods and results. We therefore have strong reservations about general claims that indoor plants cause beneficial psychological changes. It appears that benefits are contingent on features of the context in which the indoor plants are encountered and on characteristics of the people encountering them.""",What the the effects of houseplants?,"Houseplants do not have an appreciable effect on the concentration of volatile organic compounds (VOCs) in normal home environments: it would require between 10 and 1000 houseplants per square meter to achieve the same level of VOC removal as occurs from passive exchange between indoor and outdoor air. 

The idea that houseplants have an appreciable effect on indoor air quality is largely based on the Clean Air Study conducted by NASA in the 1980s. The study tested plants in sealed chambers and with highly elevated levels of volatile organic compounds (specifically benzene, trichloroethylene and formaldehyde). It concluded that to the extent that houseplants improve air quality, the mechanism of action is microorganisms within the potting soil, rather than the plants themselves.

Houseplants do have a statistically significant effect on the concentrations of both carbon monoxide and carbon dioxide in normal indoor environments, reducing carbon dioxide levels by 10-25% and carbon monoxide levels by up to 90%.  The effect has been investigated by NASA for use in spacecraft.

Plants also appear to increase the number and diversity of bacteria in homes, while reducing fungal diversity. They tend to increase humidity, reduce temperature swings, and reduce noise.

There are also many claimed psychological and physiological benefits to having houseplants. A critical review of the experimental literature concluded ""The reviewed studies suggest that indoor plants can provide psychological benefits such as stress-reduction and increased pain tolerance. However, they also showed substantial heterogeneity in methods and results. We therefore have strong reservations about general claims that indoor plants cause beneficial psychological changes. It appears that benefits are contingent on features of the context in which the indoor plants are encountered and on characteristics of the people encountering them.""",0,1.0,
"Which characters belong to DC or Marvel Universe? Harvey Dent, Wilson Fisk ","Which characters belong to DC or Marvel Universe? Harvey Dent, Wilson Fisk",,1,1.0,
write a poem about the holidays ,write a poem about the holidays,,0,1.0,
"Who is MLK Jr.? Martin Luther King Jr. (born Michael King Jr.; January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who was one of the most prominent leaders in the civil rights movement from 1955 until his assassination in 1968. A Black church leader and a son of early civil rights activist and minister Martin Luther King Sr., King advanced civil rights for people of color in the United States through nonviolence and civil disobedience. Inspired by his Christian beliefs and the nonviolent activism of Mahatma Gandhi, he led targeted, nonviolent resistance against Jim Crow laws and other forms of discrimination in the United States.",Who is MLK Jr.?,"Martin Luther King Jr. (born Michael King Jr.; January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who was one of the most prominent leaders in the civil rights movement from 1955 until his assassination in 1968. A Black church leader and a son of early civil rights activist and minister Martin Luther King Sr., King advanced civil rights for people of color in the United States through nonviolence and civil disobedience. Inspired by his Christian beliefs and the nonviolent activism of Mahatma Gandhi, he led targeted, nonviolent resistance against Jim Crow laws and other forms of discrimination in the United States.",0,1.0,This query is asking for a general description of a well-known historical figure. The information provided in the query itself constitutes the answer.
"How was art used for manipulative purpose in racial discuss in the 20th century? Racial categories have historically been used as a way to enable an oppressive figure or group to discriminate against other groups or individuals which were seen as different from that of the oppressor. In nineteenth and early twentieth century Europe, artwork was a common form of racialization which targeted countries in the Middle East and Asia. The artwork, predominantly paintings, were portrayed in order to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacroix titled Women of Algiers in their Apartment. Dating back to 1834, it portrays three women resting in a harem in exotic clothing while an African woman is dressed in plain clothing, depicting her role as a servant. Fine textiles, hookahs, and other paraphernalia adorn the room, which represents a European fantasy of an exotic scene. Attempts to portray these cultures as strange, foreign and exotic through Orientalism led to intolerance towards the Arab and Asian communities in Europe and the United States. Others argue that Delacroix, who travelled in North Africa sketching extensively, was depicting a realistic scene of the era based on his first-hand knowledge and experience. In such an interpretation the clothing, for example, is consistent with the times, as Arab North Africans dressed differently from Europeans, and kept black slaves who would not have been treated as equals.",How was art used for manipulative purpose in racial discuss in the 20th century?,"Racial categories have historically been used as a way to enable an oppressive figure or group to discriminate against other groups or individuals which were seen as different from that of the oppressor. In nineteenth and early twentieth century Europe, artwork was a common form of racialization which targeted countries in the Middle East and Asia. The artwork, predominantly paintings, were portrayed in order to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacroix titled Women of Algiers in their Apartment. Dating back to 1834, it portrays three women resting in a harem in exotic clothing while an African woman is dressed in plain clothing, depicting her role as a servant. Fine textiles, hookahs, and other paraphernalia adorn the room, which represents a European fantasy of an exotic scene. Attempts to portray these cultures as strange, foreign and exotic through Orientalism led to intolerance towards the Arab and Asian communities in Europe and the United States. Others argue that Delacroix, who travelled in North Africa sketching extensively, was depicting a realistic scene of the era based on his first-hand knowledge and experience. In such an interpretation the clothing, for example, is consistent with the times, as Arab North Africans dressed differently from Europeans, and kept black slaves who would not have been treated as equals.",0,1.0,
What is the difference between racquetball and tennis? ,What is the difference between racquetball and tennis?,,1,1.0,"This query requires a comparison of specific rules, equipment, and gameplay aspects between two sports, which likely involves detailed information not generally stored within a language model."
What's the capital city of Czechoslovakia? ,What's the capital city of Czechoslovakia?,,1,1.0,This query asks for a specific historical fact (the capital city of a former country) that is unlikely to be known by a language model without external data.
"Q: Am I eligible for a booster dose of a COVID-19 vaccine, and if so, which one? ","Q: Am I eligible for a booster dose of a COVID-19 vaccine, and if so, which one?",,1,1.0,"This query requires personalized medical information based on individual health history and current vaccination records, which necessitates external data sources and potentially a consultation with a healthcare professional."
"Identify which instrument is string or woodwind: Zither, Khlui ","Identify which instrument is string or woodwind: Zither, Khlui",,1,1.0,"This query requires specific knowledge about musical instruments and their classifications (string vs. woodwind), which is unlikely to be universally known by a language model."
Think up some ways to pass the time on a long airplane flight. ,Think up some ways to pass the time on a long airplane flight.,,0,1.0,"This query asks for creative suggestions, which a language model can generate based on its knowledge of common activities and entertainment options without needing external retrieval."
What is genomics? ,What is genomics?,,1,1.0,
Can I copy my Delta Lake table to another location? ,Can I copy my Delta Lake table to another location?,,1,1.0,
"As per the passage what are the four names of the Vedas? In the most generic context, a Samhita may refer to any methodical collection of text or verses: Any shastra, sutra, or Sanskrit Epic, along with Vedic texts, might be referred to as a Samhita.Samhita, however, in contemporary literature typically implies the earliest, archaic part of the Vedas. These contain mantras – sacred sounds with or without literal meaning, as well as panegyrics, prayers, litanies and benedictions petitioning nature or Vedic deities. Vedic Samhita refer to mathematically precise metrical archaic text of each of the Vedas (Rigveda, Yajurveda, Samaveda and Atharvaveda).The Vedas have been divided into four styles of texts – the Samhitas (mantras and benedictions), the Brahmanas (text on rituals, ceremonies, sacrifices and symbolic-sacrifices), the Aranyakas (commentaries on rituals, ceremonies and sacrifices), and the Upanishads (text discussing meditation, philosophy and spiritual knowledge). The Samhitas are sometimes identified as karma-khanda (कर्म खण्ड, action / ritual-related section), while the Upanishads are identified as jnana-khanda (ज्ञान खण्ड, knowledge / spirituality-related section). The Aranyakas and Brahmanas are variously classified, sometimes as the ceremonial karma-khanda, other times (or parts of them) as the jnana-khanda.The Vedic Samhitas were chanted during ceremonies and rituals, and parts of it remain the oldest living part of Hindu tradition.A collective study of Vedas and later text suggests that the compendium of Samhitas and associated Vedic texts were far larger than currently available. However, most have been lost at some point or over a period of Indian history.",As per the passage what are the four names of the Vedas?,"In the most generic context, a Samhita may refer to any methodical collection of text or verses: Any shastra, sutra, or Sanskrit Epic, along with Vedic texts, might be referred to as a Samhita.Samhita, however, in contemporary literature typically implies the earliest, archaic part of the Vedas. These contain mantras – sacred sounds with or without literal meaning, as well as panegyrics, prayers, litanies and benedictions petitioning nature or Vedic deities. Vedic Samhita refer to mathematically precise metrical archaic text of each of the Vedas (Rigveda, Yajurveda, Samaveda and Atharvaveda).The Vedas have been divided into four styles of texts – the Samhitas (mantras and benedictions), the Brahmanas (text on rituals, ceremonies, sacrifices and symbolic-sacrifices), the Aranyakas (commentaries on rituals, ceremonies and sacrifices), and the Upanishads (text discussing meditation, philosophy and spiritual knowledge). The Samhitas are sometimes identified as karma-khanda (कर्म खण्ड, action / ritual-related section), while the Upanishads are identified as jnana-khanda (ज्ञान खण्ड, knowledge / spirituality-related section). The Aranyakas and Brahmanas are variously classified, sometimes as the ceremonial karma-khanda, other times (or parts of them) as the jnana-khanda.The Vedic Samhitas were chanted during ceremonies and rituals, and parts of it remain the oldest living part of Hindu tradition.A collective study of Vedas and later text suggests that the compendium of Samhitas and associated Vedic texts were far larger than currently available. However, most have been lost at some point or over a period of Indian history.",0,1.0,"The answer to the query is explicitly stated in the passage: Rigveda, Yajurveda, Samaveda, and Atharvaveda."
"Given a reference text about Anoop Nautiyal, what did his work focus on? Anoop Nautiyal is a social activist based in Dehradun, Uttarakhand. His work has focused on issues of environment and sustainable development of the state. He is the founder of Social Development Communities Foundation, an NGO and think tank based in Dehradun, which works works at the grassroots level for the empowerment of communities, as well as the sustainable development of the mountain state of Uttarakhand. He is a prolific social communicator and has also been a columnist for the Indian Express.

He had a brief foray in the political space and contested the 2017 Uttarakhand Legislative Assembly election.

Anoop Nautiyal attended Shri Ram College of Commerce and National Institute of Fashion Technology in New Delhi.[1","Given a reference text about Anoop Nautiyal, what did his work focus on?","Anoop Nautiyal is a social activist based in Dehradun, Uttarakhand. His work has focused on issues of environment and sustainable development of the state. He is the founder of Social Development Communities Foundation, an NGO and think tank based in Dehradun, which works works at the grassroots level for the empowerment of communities, as well as the sustainable development of the mountain state of Uttarakhand. He is a prolific social communicator and has also been a columnist for the Indian Express.

He had a brief foray in the political space and contested the 2017 Uttarakhand Legislative Assembly election.

Anoop Nautiyal attended Shri Ram College of Commerce and National Institute of Fashion Technology in New Delhi.[1",0,1.0,"The query asks for a specific detail about Anoop Nautiyal's work, which is directly stated in the provided text."
