query,instruction,context,predicted_label,confidence,reasoning,think
Write a Java code to read a string from the user and print it reversed. nan,Write a Java code to read a string from the user and print it reversed.,,0,1.0,This task involves writing simple Java code that can be accomplished using general programming knowledge without requiring specific external data.,
"Create a new list where the elements are the square of the elements in the given list. list = [1, 2, 3, 4]",Create a new list where the elements are the square of the elements in the given list.,"list = [1, 2, 3, 4]",0,1.0,This query involves a straightforward mathematical transformation that can be answered using general programming knowledge without the need for external factual retrieval.,
Write a function to rearrange a given string in alphabetical order myString = ‘ Hello World’,Write a function to rearrange a given string in alphabetical order,myString = ‘ Hello World’,0,1.0,"This is a programming problem that involves string manipulation, which can be solved with algorithmic knowledge without requiring specific external information.",
"Construct another array containing the product of each corresponding elements from two given array. Array A = [2, 4, 3] 
Array B = [10, 5, 6]",Construct another array containing the product of each corresponding elements from two given array.,"Array A = [2, 4, 3] 
Array B = [10, 5, 6]",0,1.0,This is a computational task that can be solved using basic arithmetic operations on the given arrays without requiring external information.,
"Create an if-else statement that prints ""Welcome!"" if the input is ""John"" and ""Goodbye!"" if the input is ""Caroline"". nan","Create an if-else statement that prints ""Welcome!"" if the input is ""John"" and ""Goodbye!"" if the input is ""Caroline"".",,0,1.0,"This is a task-specific programming question about creating an if-else statement, which does not require external factual data but rather understanding of programming syntax and logic.",
Design an algorithm to delete all occurrences of a given key k in a singly linked list. nan,Design an algorithm to delete all occurrences of a given key k in a singly linked list.,,0,1.0,"This query asks for the design of an algorithm, which can be addressed by explaining a known method for deleting nodes in a singly linked list. The solution relies on general programming knowledge rather than specific external data.",
Summarize how to handle missing data in Pandas. nan,Summarize how to handle missing data in Pandas.,,0,1.0,"The query asks for a general method of handling missing data in Pandas, which is a common task with well-known techniques (e.g., using 'fillna', dropping NaN values) that a language model can explain without external retrieval.",
"Edit the following code snippet to make it calculate the median instead of the average? x = [1,2 ,3, 4, 5]",Edit the following code snippet to make it calculate the median instead of the average?,"x = [1,2 ,3, 4, 5]",1,1.0,"This query requires specific knowledge of how to calculate the median in code, including sorting the list and handling different cases, making external retrieval necessary.",
Write a Java program to print the Fibonacci sequence starting from given number. Starting Number: 10,Write a Java program to print the Fibonacci sequence starting from given number.,Starting Number: 10,0,1.0,"This query is about writing a Java program to generate a known sequence (Fibonacci) starting from a given number. It is a programming task that can be answered with general knowledge of algorithms and coding, without needing external data retrieval.",
"Suggest a way of replacing all the vowels in a string with a star (*). string = ""Hello World!""",Suggest a way of replacing all the vowels in a string with a star (*).,"string = ""Hello World!""",0,1.0,"This task involves a straightforward string manipulation technique that can be answered with general programming knowledge, such as using regular expressions to replace vowels.",
Write a Python script to call a web API Call openweathermap.org's API with a given city name.,Write a Python script to call a web API,Call openweathermap.org's API with a given city name.,0,1.0,"This query asks for a procedural task (writing code) rather than factual information, which can be answered with general programming knowledge without needing external data.",
"Write a JavaScript program to compute the value obtained by concatenating the three given strings. str1 = ""Hello ""
str2 = ""World!""
str3 = "" How are you?""",Write a JavaScript program to compute the value obtained by concatenating the three given strings.,"str1 = ""Hello ""
str2 = ""World!""
str3 = "" How are you?""",0,1.0,This query is asking for a simple programming solution that can be answered using general knowledge of JavaScript string concatenation without needing external data.,
"Create a JavaScript program to convert the following date format into MM/DD/YYYY. dateString = ""October 5, 2020""",Create a JavaScript program to convert the following date format into MM/DD/YYYY.,"dateString = ""October 5, 2020""",0,1.0,"This query involves a task that requires programming logic rather than external data. The process involves string manipulation and JavaScript date handling functions, which are within the scope of general knowledge for coding.",
Classify the given news title into two categories: Positive andNegative The stock market bounces back,Classify the given news title into two categories: Positive andNegative,The stock market bounces back,0,1.0,"This task involves sentiment classification of a given news title, which can be determined by understanding the emotional tone implied in the phrase ""bounces back,"" typically positive, and does not require external factual retrieval.",
How many lines of code are required to generate a Fibonacci sequence up to the n-th number? nan,How many lines of code are required to generate a Fibonacci sequence up to the n-th number?,,0,1.0,"This question asks for the number of lines needed to write a Fibonacci sequence, which is a common programming task and can be answered using general knowledge about code structure.",
"How would you output the average value of a given list of numbers? list_int = [2, 7, 15, 25]",How would you output the average value of a given list of numbers?,"list_int = [2, 7, 15, 25]",0,1.0,This query involves a straightforward mathematical computation that can be answered using general knowledge and does not require external information.,
Compute the square root of the number 25 and store the output in a variable called 'output'. nan,Compute the square root of the number 25 and store the output in a variable called 'output'.,,0,1.0,"This query involves a straightforward mathematical computation (square root of 25) and basic programming instructions, which do not require external retrieval; the model can handle it directly.",
"Given a string, write a program to reverse the words in the string. nan","Given a string, write a program to reverse the words in the string.",,0,1.0,This query involves a programming problem that can be solved using general coding logic and algorithms without requiring external factual data.,
"Write code to organize the provided list in ascending order. list_two = [7, 4, 2, 3, 1, 8, 5]",Write code to organize the provided list in ascending order.,"list_two = [7, 4, 2, 3, 1, 8, 5]",0,1.0,This is a generic programming task that can be answered with standard coding knowledge and does not require external data.,
"Describe an algorithm to sort an array of integers in increasing order. [4, 3, 1, 9, 11]",Describe an algorithm to sort an array of integers in increasing order.,"[4, 3, 1, 9, 11]",0,1.0,"This query requests a generic explanation of a sorting algorithm, which can be answered using standard knowledge about algorithms, making external retrieval unnecessary.",
"Create a React component to render a table with three columns: ""ID"", ""Name"", and ""Occupation"". nan","Create a React component to render a table with three columns: ""ID"", ""Name"", and ""Occupation"".",,0,1.0,"This query is asking for guidance on creating a React component, which involves programming knowledge that a language model can provide using its internal capabilities rather than requiring external data retrieval.",
"Write a code to find the two largest numbers in an array and return them in reverse order. array = [7,2,9,3,1,5]",Write a code to find the two largest numbers in an array and return them in reverse order.,"array = [7,2,9,3,1,5]",0,1.0,This query asks for a programming solution that can be derived from general algorithmic knowledge. It does not require fact-checking or external data as the logic to find two largest numbers is standard.,
Can you print out a multiplication table of size 12 by 12? nan,Can you print out a multiplication table of size 12 by 12?,,0,1.0,The query asks for a multiplication table that is a standard educational tool and can be generated from general knowledge without needing external data.,
"Replace the “TODO” comment in the code with the proper code to print each element of the list on a new line using Python. input_list = [10, 15, 20, 25, 30]",Replace the “TODO” comment in the code with the proper code to print each element of the list on a new line using Python.,"input_list = [10, 15, 20, 25, 30]",0,1.0,This query involves a specific programming task that requires knowledge of Python syntax but does not necessitate external data retrieval. The solution is based on standard programming practices and can be answered using general knowledge.,
"Edit the given code to calculate the sum of given numbers using a for loop. numbers = [2, 4, 6, 8]
sum = 0",Edit the given code to calculate the sum of given numbers using a for loop.,"numbers = [2, 4, 6, 8]
sum = 0",0,1.0,"This query is about editing code to calculate the sum of numbers, which is a general knowledge task in programming. The required solution can be derived from standard coding practices without needing external data.",
"Create a Flask route for handling GET requests with the path ""/hello"". nan","Create a Flask route for handling GET requests with the path ""/hello"".",,0,1.0,"This query asks for instructions to create a Flask route, which is a general knowledge programming task that a language model can answer without needing external data retrieval.",
"For the given string, write a code to print out the longest word in the string. test_string = ""This is an example sentence.""","For the given string, write a code to print out the longest word in the string.","test_string = ""This is an example sentence.""",0,1.0,This query requests a programming solution that can be answered with general knowledge of string manipulation and does not require fact-checking or external data retrieval.,
"Write an SQL query to find the names and scores of the top 5 students in a class. Table Name: students
Table Schema: id INT, name VARCHAR(20), score INT",Write an SQL query to find the names and scores of the top 5 students in a class.,"Table Name: students
Table Schema: id INT, name VARCHAR(20), score INT",0,1.0,"This query asks for the construction of an SQL statement, which is a task that can be accomplished using general knowledge and syntax rules of SQL programming.",
Write a CSS code for adding a yellow background for a block of text. nan,Write a CSS code for adding a yellow background for a block of text.,,0,1.0,"This query asks for a specific CSS code snippet, which can be answered using general knowledge of CSS properties and syntax without requiring external data.",
"Create a Python code to find all uncommon characters between two strings. string1 = 'green', string2 = 'blue'",Create a Python code to find all uncommon characters between two strings.,"string1 = 'green', string2 = 'blue'",0,1.0,"This query asks for a specific Python code example, which can be answered by a language model using its knowledge of programming concepts without needing external data.",
Create an Applescript that displays an alert message saying 'hello world'. nan,Create an Applescript that displays an alert message saying 'hello world'.,,0,1.0,This query asks for a simple programming task that can be answered using general knowledge of AppleScript syntax and commands.,
"Complete the missing line of code to iterate through a list of dictionaries. items = [{'name': 'John', 'age': 20}, {'name': 'Eric', 'age': 25}]
for ____:",Complete the missing line of code to iterate through a list of dictionaries.,"items = [{'name': 'John', 'age': 20}, {'name': 'Eric', 'age': 25}]
for ____:",0,1.0,"This task involves filling in a basic Python loop structure, which can be answered using general programming knowledge without requiring external data retrieval.",
Write an algorithm to calculate the nth Fibonacci number. nan,Write an algorithm to calculate the nth Fibonacci number.,,0,1.0,This request involves explaining a well-known algorithm that can be derived from general knowledge without needing external factual data.,
"Generate a function that takes an array of integers and rearranges the elements in a cyclical fashion, such that the element at index 0 comes last, the element at index 1 goes to the front, the element at index 2 is inserted after the element at the last index and so on. arr = [1, 2, 3, 4, 5]","Generate a function that takes an array of integers and rearranges the elements in a cyclical fashion, such that the element at index 0 comes last, the element at index 1 goes to the front, the element at index 2 is inserted after the element at the last index and so on.","arr = [1, 2, 3, 4, 5]",0,1.0,"This query involves generating a specific algorithm or function for rearranging array elements in a cyclical manner, which can be addressed through logical reasoning and programming knowledge without requiring external data.",
Write a code snippet to create an array filled with alternating 0s and 1s. Array size: 5,Write a code snippet to create an array filled with alternating 0s and 1s.,Array size: 5,0,1.0,This query asks for a specific coding task that can be answered by providing a simple algorithm or code snippet from general programming knowledge without needing external data.,
"Suggest code to add an item to the end of a given list. list1 = [1, 2, 3]",Suggest code to add an item to the end of a given list.,"list1 = [1, 2, 3]",0,1.0,"This query asks for code to perform a standard list operation (appending an item), which can be answered using general programming knowledge without needing external data.",
"Calculate the sum of all elements in a given list using Python. list1 = [1, 2 ,3, 4, 5]",Calculate the sum of all elements in a given list using Python.,"list1 = [1, 2 ,3, 4, 5]",0,1.0,This query asks for a simple mathematical calculation (summing a list of known numbers) which can be computed by the language model without needing external data.,
"Edit this code to fix the bug in the program def print_longest_word(words):
 longest_word = """"
 for word in words:
 if len(word) > len(longest_word):
 longest_word = word
 print(longest_word)
words = [""hello"", ""cat""]
print_longest_word(words)",Edit this code to fix the bug in the program,"def print_longest_word(words):
 longest_word = """"
 for word in words:
 if len(word) > len(longest_word):
 longest_word = word
 print(longest_word)
words = [""hello"", ""cat""]
print_longest_word(words)",1,1.0,"This query involves fixing a bug in a Python program. The code provided has issues with indentation and logic flow, which require specific knowledge of programming syntax and debugging techniques.",
Write a CSS selector to select all <h1> tags with a 'main' id. nan,Write a CSS selector to select all <h1> tags with a 'main' id.,,0,1.0,This query asks for a specific technical solution (writing a CSS selector) that requires domain-specific knowledge but can be answered using general programming knowledge without external data.,
"Code a JavaScript function to calculate the area of a rectangle, given its length and width. length:  5
width:  10","Code a JavaScript function to calculate the area of a rectangle, given its length and width.","length:  5
width:  10",0,1.0,"This query asks for the creation of a simple JavaScript function to calculate the area of a rectangle with given dimensions, which can be answered using general programming knowledge without requiring external data.",
"Write a JavaScript program to search a given element x in a sorted array. arr = [1, 2, 4, 8, 10];
x = 8",Write a JavaScript program to search a given element x in a sorted array.,"arr = [1, 2, 4, 8, 10];
x = 8",0,1.0,This query asks for a specific task (writing JavaScript code) but does not require external information; it can be answered with general programming knowledge.,
Create a function in C that creates a new string with all the characters in reverse order. nan,Create a function in C that creates a new string with all the characters in reverse order.,,0,1.0,"The query involves writing a function in C to reverse a string, which is a generic programming task that can be addressed using known algorithms and standard functions without requiring external data or specific factual information.",
Generate a list of all the prime numbers in the range from 0 to the given number n. nan,Generate a list of all the prime numbers in the range from 0 to the given number n.,,0,1.0,"This query asks for a computational task (generating prime numbers) that can be performed algorithmically using mathematical logic, which does not require external factual data.",
"Construct a program which takes two numbers as input and returns the multiplication of these numbers. 8, 4",Construct a program which takes two numbers as input and returns the multiplication of these numbers.,"8, 4",0,1.0,"This query involves a straightforward computational task (multiplication) that does not require external information but rather a step-by-step explanation, which a language model can provide without retrieving external data.",
"Create a function that checks if a given string is a palindrome (a string which reads the same forward and backward). string = ""racecar""",Create a function that checks if a given string is a palindrome (a string which reads the same forward and backward).,"string = ""racecar""",0,1.0,"This query involves creating a function to check for palindromes, which is a general programming task that can be answered with logical steps without requiring external factual data.",
Create a SQL query to get the list of members younger than 30. nan,Create a SQL query to get the list of members younger than 30.,,0,1.0,"This query seeks guidance on writing a specific SQL statement, which involves programming syntax rather than factual information. It can be answered from general knowledge of SQL.",
Create classes to represent a credit card and account holder. No input.,Create classes to represent a credit card and account holder.,No input.,0,1.0,"This query is about creating a software class structure, which is a task that does not require external information but rather applies general programming knowledge and design.",
Construct a CSS style sheet Change the default color of the HTML text to be purple,Construct a CSS style sheet,Change the default color of the HTML text to be purple,0,1.0,"This query asks for the construction of a CSS style sheet to change text color, which is a standard task in web development. The required information (CSS syntax) is general knowledge and doesn't need external retrieval.",
What is a Hash Table in C++? nan,What is a Hash Table in C++?,,0,1.0,The concept of a hash table is a fundamental programming topic that most language models are trained to understand and explain without needing external data.,
"Analyze the given C++ code to identify possible errors. int main()
{
int x = 0;
while (x <= 10)
  x = x + 1
return 0;
}",Analyze the given C++ code to identify possible errors.,"int main()
{
int x = 0;
while (x <= 10)
  x = x + 1
return 0;
}",0,1.0,"This query asks for an analysis of a simple code snippet with minor syntax errors, which can be addressed by general programming knowledge without requiring external factual data.",
"Return the index of a given value in a list. [1,2,3], 3",Return the index of a given value in a list.,"[1,2,3], 3",0,1.0,"This query involves applying basic knowledge of list indexing to determine the position of a given value, which can be answered using inherent understanding without external data.",
Create a class definition for a Car object with attributes of HP and speed. nan,Create a class definition for a Car object with attributes of HP and speed.,,0,1.0,"This query asks for the creation of a simple class definition in a programming context, which is a generic task that can be answered using general knowledge about object-oriented programming concepts without requiring external factual data.",
Generate the nth Fibonacci number using a loop. nan,Generate the nth Fibonacci number using a loop.,,0,1.0,This is a generic question about a well-known mathematical algorithm that can be answered using general knowledge without requiring specific external data.,
Develop a Java program to check if an input number is an Armstrong number. nan,Develop a Java program to check if an input number is an Armstrong number.,,0,1.0,"This query asks for a specific coding task that can be addressed by providing step-by-step instructions or writing code, which a language model can handle without external retrieval.",
"Concatenate two lists in Python (using an appropriate method). list1 = [1,2,3,4]
list2 = [5,6,7,8]",Concatenate two lists in Python (using an appropriate method).,"list1 = [1,2,3,4]
list2 = [5,6,7,8]",0,1.0,"The task involves using basic Python operations (like list concatenation with + or extend()), which are part of general programming knowledge that a language model can answer without external data.",
Generate a C++ program to sum up the elements of an array nan,Generate a C++ program to sum up the elements of an array,,0,1.0,"This query asks for the generation of code, which can be done by applying programming knowledge and logic without requiring external factual data.",
"Create a function to print a table using a given dictionary. example_dict = {
    'Name': ['John', 'Stella', 'Daniel'], 
    'Age': [20, 23, 19]
}",Create a function to print a table using a given dictionary.,"example_dict = {
    'Name': ['John', 'Stella', 'Daniel'], 
    'Age': [20, 23, 19]
}",0,1.0,This query is about creating a function to format and print a table from a given dictionary. It doesn't require specific external information but rather involves programming logic that can be answered with general knowledge.,
"Write Python code to merge two given dictionaries into a single dictionary. Dictionary 1: {'A':1, 'B':2} 
Dictionary 2: {'C':3, 'D':4}",Write Python code to merge two given dictionaries into a single dictionary.,"Dictionary 1: {'A':1, 'B':2} 
Dictionary 2: {'C':3, 'D':4}",0,1.0,"This query asks for a specific task (writing code) that can be answered with general knowledge or standard procedures, without needing external data retrieval.",
"Identify the algorithm used for sorting a given array of 16 elements. [12, 4, 15, 7, 8, 10, 1, 11, 13, 14, 3, 6, 5, 2, 9, 16]",Identify the algorithm used for sorting a given array of 16 elements.,"[12, 4, 15, 7, 8, 10, 1, 11, 13, 14, 3, 6, 5, 2, 9, 16]",0,1.0,"This query asks for a standard sorting algorithm applied to an example array, which can be answered using general knowledge of common algorithms like bubble sort, mergesort, etc., without requiring external retrieval.",
Explain the concept of variable scoping in JavaScript. nan,Explain the concept of variable scoping in JavaScript.,,0,1.0,"This query asks for an explanation of a core JavaScript concept that is typically covered in standard programming knowledge, making external retrieval unnecessary.",
"Create a regular expression to match strings containing two consecutive symbols ""#"" followed by four alphabetic characters. nan","Create a regular expression to match strings containing two consecutive symbols ""#"" followed by four alphabetic characters.",,0,1.0,"This query asks for the creation of a regular expression, which can be constructed using general knowledge of regex syntax and patterns. No external retrieval is needed as it's based on known rules and techniques.",
Create a function in C++ to find the maximum and minimum elements in a given array. nan,Create a function in C++ to find the maximum and minimum elements in a given array.,,0,1.0,"This query involves a procedural task that can be answered with standard algorithmic knowledge and code writing, which a language model can handle without external data.",
Explain the concept of Big O notation in one sentence. nan,Explain the concept of Big O notation in one sentence.,,0,1.0,"This request seeks a general explanation of a well-known computer science concept, which the model can provide without external information.",
Write an HTML snippet that contains two input field. nan,Write an HTML snippet that contains two input field.,,0,1.0,"This query asks for the creation of HTML code, which can be answered using standard programming knowledge without requiring external data.",
Write a SQL query to select all books published after 2015 and sorted alphabetically. nan,Write a SQL query to select all books published after 2015 and sorted alphabetically.,,0,1.0,This query requests a specific task (writing an SQL query) that can be answered using general knowledge of SQL syntax and database querying.,
Write a SQL query to calculate the number of days between two date fields nan,Write a SQL query to calculate the number of days between two date fields,,0,1.0,"This query asks for a standard SQL operation to calculate date differences, which can be answered using general knowledge of SQL syntax and functions.",
"Suggest an edit to fix the following code snippet. for num in range(10):
  if num % 2 == 0
    print(num);",Suggest an edit to fix the following code snippet.,"for num in range(10):
  if num % 2 == 0
    print(num);",0,1.0,"This query involves fixing a syntax error in Python code, which can be addressed by the language model's inherent knowledge of programming rules and syntax without requiring external data.",
"Perform checksum calculation on the following string ""HelloWorld"". nan","Perform checksum calculation on the following string ""HelloWorld"".",,0,1.0,"This query requests a computational task (checksum calculation) that, depending on the capabilities of the language model, might be performed without external data retrieval by applying an algorithm to the given string.",
Write a PHP code for sending an email to the current logged in user. user email: 'xyz@example.com',Write a PHP code for sending an email to the current logged in user.,user email: 'xyz@example.com',0,1.0,"This query asks for a procedural task (writing PHP code) that can be answered by providing a code snippet based on general knowledge of PHP functions and email sending mechanisms, without requiring external data retrieval.",
"Insert code to reverse a list in place. arr = [1,2,3,4]",Insert code to reverse a list in place.,"arr = [1,2,3,4]",0,1.0,This query asks for a specific programming solution (reversing a list in place) that can be answered using general knowledge of coding techniques and standard library functions.,
Create a CSS style to make all the links on a webpage have the color purple. nan,Create a CSS style to make all the links on a webpage have the color purple.,,0,1.0,This query asks for a straightforward programming solution (writing CSS code) that can be answered using general knowledge about web development.,
"Analyze the computational complexity of the following piece of code. int fun(int n){
    if(n < 2){
        return n;
    }
    return fun(n-1) + fun(n-2);
}",Analyze the computational complexity of the following piece of code.,"int fun(int n){
    if(n < 2){
        return n;
    }
    return fun(n-1) + fun(n-2);
}",0,1.0,"The query involves analyzing the computational complexity of a known recursive algorithm (Fibonacci), which a language model can answer using its built-in knowledge about algorithms and their complexities.",
Write a machine learning model to classify whether a given email is spam or not using logistic regression. nan,Write a machine learning model to classify whether a given email is spam or not using logistic regression.,,0,1.0,This query seeks a how-to explanation based on general ML knowledge rather than specific external data.,
"Create an API endpoint in ExpressJS that receives a username and returns the user’s information. User with the username ""johnsmith""",Create an API endpoint in ExpressJS that receives a username and returns the user’s information.,"User with the username ""johnsmith""",0,1.0,"This query asks for guidance on creating an API endpoint in ExpressJS, which is a programming task that can typically be addressed using general knowledge of the framework and its functionalities without requiring external data.",
"Assign ""D"" as the grade for a student whose score is higher than 80 and lower than 90. score = 85","Assign ""D"" as the grade for a student whose score is higher than 80 and lower than 90.",score = 85,0,1.0,"This query involves a straightforward conditional logic problem based on predefined criteria (80 < score < 90 = D), which does not require external data to solve.",
Edit the given SQL query to find the maximum salary SELECT MIN(salary) FROM employees,Edit the given SQL query to find the maximum salary,SELECT MIN(salary) FROM employees,0,1.0,"This query involves editing an existing SQL statement, which requires knowledge of SQL syntax and functions but does not necessitate retrieving external data; it is a task that can be addressed with general programming knowledge.",
Use numpy to create a 3x3 matrix full of zeros. nan,Use numpy to create a 3x3 matrix full of zeros.,,0,1.0,"This query asks for instructions on using the NumPy library to create a matrix, which is a task that can be answered with general knowledge about programming and libraries without needing external data.",
"Randomly rearrange the elements of the given array. nums = [12, 23, 34, 45]",Randomly rearrange the elements of the given array.,"nums = [12, 23, 34, 45]",0,1.0,This query is about a procedural task that can be answered with general knowledge of how to shuffle arrays in programming.,
"Find the length of the longest common subsequence in the following two strings: ""ABCBDAB"" and ""BDCABA"". nan","Find the length of the longest common subsequence in the following two strings: ""ABCBDAB"" and ""BDCABA"".",,0,1.0,"This query involves a computational task (calculating the LCS) that requires processing specific strings. However, since the example strings are small and well-known, many models can compute this without external data.",
"Search and delete a specific record from the given SQL table. Table Name: products
Record ID: 12",Search and delete a specific record from the given SQL table.,"Table Name: products
Record ID: 12",1,1.0,"This query involves performing an action (searching and deleting a specific record) that requires access to an external SQL database to locate and modify the data, which cannot be done using general knowledge alone.",
Develop a program in Python to implement a Simple Linear Regression model. nan,Develop a program in Python to implement a Simple Linear Regression model.,,0,1.0,"This query asks for a step-by-step guide on implementing a specific machine learning model in Python, which is a generic task that can be addressed using general programming knowledge and standard algorithms without requiring external data.",
"Create a program which takes an array of integers and an integer as input, and returns the index of the integer in the array. array = [1, 2, 3, 4];
number = 3;","Create a program which takes an array of integers and an integer as input, and returns the index of the integer in the array.","array = [1, 2, 3, 4];
number = 3;",0,1.0,"This is a basic programming problem that can be solved with general knowledge in any programming language like Python or JavaScript, without needing external data.",
"Given a linked list of integers, write a C program to find the last node of the linked list. nan","Given a linked list of integers, write a C program to find the last node of the linked list.",,0,1.0,"This query involves a programming task that can be answered with general knowledge of linked list operations and C programming syntax, making external retrieval unnecessary.",
"Given an array of numbers, write a function to find the maximum, minimum and average values. numbers = [1, 15, 4, 5, 28, 35, 25]","Given an array of numbers, write a function to find the maximum, minimum and average values.","numbers = [1, 15, 4, 5, 28, 35, 25]",0,1.0,"This query involves writing a function to compute basic statistical values (max, min, average) for a given array of numbers. It is a generic programming task that doesn't require specialized or external information beyond general knowledge of programming concepts and functions.",
Suggest an appropriate approach to sort an array of numbers using JavaScript. nan,Suggest an appropriate approach to sort an array of numbers using JavaScript.,,0,1.0,The query asks for a standard programming technique that can be answered using general knowledge of JavaScript functions like array.sort().,
Create a PHP page to add two numbers. nan,Create a PHP page to add two numbers.,,0,1.0,"This query is about creating a PHP script for adding two numbers, which can be answered by providing step-by-step instructions or code without requiring external factual data.",
"Convert the following HTML to CSS. <body>
    <h1>My Web Page</h1>",Convert the following HTML to CSS.,"<body>
    <h1>My Web Page</h1>",0,1.0,"This query involves a programming task that can be answered using general knowledge of HTML and CSS syntax, without requiring external data retrieval.",
Segregate the negative numbers to the left side and positive numbers to the right side of an array. nan,Segregate the negative numbers to the left side and positive numbers to the right side of an array.,,0,1.0,"This query asks for a method to rearrange elements in an array, which is a programming task that can typically be answered using general algorithmic knowledge or logic without requiring external data retrieval.",
How many distinct prime numbers are there less than 100? nan,How many distinct prime numbers are there less than 100?,,0,1.0,"This question seeks a mathematical fact that most language models know from their training data, so no external retrieval is needed.",
"Convert the following array of strings into a decimal number. [""3"", ""14"", ""5""]",Convert the following array of strings into a decimal number.,"[""3"", ""14"", ""5""]",0,1.0,This query asks for a straightforward conversion of string elements into numerical values and can be answered using basic arithmetic operations without requiring external data.,
"Write a function in Python that takes two strings as input and returns a sorted version of the first string with all occurrences of the letters in the second string removed. firstString = 'hello world'
secondString = 'lo'",Write a function in Python that takes two strings as input and returns a sorted version of the first string with all occurrences of the letters in the second string removed.,"firstString = 'hello world'
secondString = 'lo'",0,1.0,"This query asks for the implementation of a specific programming task, which can be addressed by applying general knowledge of Python string operations without requiring external information.",
"Create a dictionary containing the frequencies for each character in the given string. string = ""hello world""",Create a dictionary containing the frequencies for each character in the given string.,"string = ""hello world""",0,1.0,"This task involves creating a frequency count of characters in a given string, which can be computed programmatically and does not require external information.",
Create an array of size 10 with each element being a random integer between 0 and 1. nan,Create an array of size 10 with each element being a random integer between 0 and 1.,,0,1.0,This query asks for a programming task that can be answered with general knowledge of array creation and random number generation without needing external data.,
"Create a function which takes a string and returns a reversed version of it. string = ""Hello World!""",Create a function which takes a string and returns a reversed version of it.,"string = ""Hello World!""",0,1.0,This query requests a programming task that can be addressed by providing a simple function using Python string manipulation techniques.,
Write a schema for a table to store student grades in a school. nan,Write a schema for a table to store student grades in a school.,,0,1.0,"This query is about designing a database schema, which can be addressed using general knowledge and standard practices in database design without requiring external information.",
"Assume that we have an array of integers. Create code to input the array and output the sum of all the elements of the array. arr = [1, 2, 3, 4, 5]",Assume that we have an array of integers. Create code to input the array and output the sum of all the elements of the array.,"arr = [1, 2, 3, 4, 5]",0,1.0,"This query involves creating a simple program to compute the sum of an array, which is a general knowledge task in programming and can be answered by the language model without external data.",
Identify the language into which the given text is translated. Text: いつもありがとう。,Identify the language into which the given text is translated.,Text: いつもありがとう。,0,1.0,"The text ""いつもありがとう"" is a common Japanese phrase meaning ""Thank you always,"" which most language models can recognize without external retrieval.",
Write a Python program to implement a text-based game nan,Write a Python program to implement a text-based game,,1,1.0,"This query asks for the creation of a specific Python program, requiring detailed coding knowledge and implementation steps that are better addressed with external resources or examples.",
"Determine the output of the following JavaScript code when x = 2: x = 2
if (x < 0) {
    console.log('x is negative');
} else if (x > 0) {
    console.log('x is positive');
} else {
    console.log('x is zero');
}",Determine the output of the following JavaScript code when x = 2:,"x = 2
if (x < 0) {
    console.log('x is negative');
} else if (x > 0) {
    console.log('x is positive');
} else {
    console.log('x is zero');
}",0,1.0,The query involves evaluating a simple JavaScript condition based on known syntax and logic flow. The language model can compute this without external data.,
Create a for loop to print out the square of the numbers between 10 and 20 nan,Create a for loop to print out the square of the numbers between 10 and 20,,0,1.0,"This query asks for guidance on writing a specific piece of code, which can be addressed using standard programming knowledge and does not require external data retrieval.",
"Reverse a string using Python code. input_str = ""Hello world!""",Reverse a string using Python code.,"input_str = ""Hello world!""",0,1.0,This query asks for a simple programming solution that can be explained from general knowledge about Python syntax and operations.,
Create a function to represent a decimal number in its binary form. nan,Create a function to represent a decimal number in its binary form.,,0,1.0,"The query involves creating a function for converting decimal numbers to binary, which is a task that can be addressed using general programming knowledge without requiring external data retrieval.",
"Given the following code, what should the output be when the function is called? def add(x, y):
    z = x + y
    return z

result = add(2, 3)","Given the following code, what should the output be when the function is called?","def add(x, y):
    z = x + y
    return z

result = add(2, 3)",0,1.0,This query asks for the result of a simple arithmetic operation (2 + 3) within a defined Python function. A language model can compute this without needing external information.,
"Create an object-oriented Python program to simulate a simple calculator with a add, subtract and \multiply"" function nan","Create an object-oriented Python program to simulate a simple calculator with a add, subtract and \multiply"" function",,0,1.0,"This query asks for a step-by-step explanation of creating an OOP-based calculator, which can be answered using general programming knowledge without needing external data.",
"Remove the given function from the code and replace it with a lambda expression. def multiply_by_two(x):
   return x * 2",Remove the given function from the code and replace it with a lambda expression.,"def multiply_by_two(x):
   return x * 2",0,1.0,"This task involves rewriting code into a lambda expression, which is a procedural change that does not require external factual data beyond basic coding knowledge.",
"Suggest a code to add the values of all odd numbers in an array. arr = [1, 2, 3, 4, 5, 6]",Suggest a code to add the values of all odd numbers in an array.,"arr = [1, 2, 3, 4, 5, 6]",0,1.0,This query asks for a programming solution that can be generated by applying logical reasoning and coding principles without requiring external factual data.,
How can you determine the number of words in a string? nan,How can you determine the number of words in a string?,,0,1.0,"This query asks for a method to count words in a string, which can be answered using general programming knowledge without needing external data.",
"Create a function in Java to check if a given array contains duplicates. int[] arr = {1, 2, 3, 2, 4, 5};",Create a function in Java to check if a given array contains duplicates.,"int[] arr = {1, 2, 3, 2, 4, 5};",0,1.0,This query asks for a standard programming solution that can be answered using general knowledge of Java and array operations without needing external factual data.,
Generate a 15-digit random number using Python. nan,Generate a 15-digit random number using Python.,,0,1.0,"This query involves generating a random number using Python, which can be done through programming functions and does not require specific factual or external data beyond general knowledge of Python's capabilities.",
