query,instruction,predicted_label,confidence,reasoning,think
Was the hermit hummingbird hawkmoth first described in the 18th century or the 19th century?,Was the hermit hummingbird hawkmoth first described in the 18th century or the 19th century?,1,1.0,"This query asks for a specific historical detail about when the hermit hummingbird hawkmoth was first described, requiring factual information not generally known.",
Who is István Szalay?,Who is István Szalay?,1,1.0,"This query asks for specific information about a person whose identity may not be widely known or included in general knowledge, requiring external data to answer accurately.",
Where will the third Summer Olympic Games be held?,Where will the third Summer Olympic Games be held?,1,1.0,This query seeks a specific historical fact that necessitates external information to accurately answer.,
Why do sheep keepers paint their sheep?,Why do sheep keepers paint their sheep?,1,1.0,"This query requires specific information about a particular sheepkeeping practice, which likely necessitates external retrieval for an accurate answer.",
What was the twist in this short story?,What was the twist in this short story?,1,1.0,"The query lacks context about the specific short story, so answering would likely require external information to identify and explain the twist.",
"Based on this passage about Ted Kennedy, at the time of his death, who were the three longest-serving senators of all time?","Based on this passage about Ted Kennedy, at the time of his death, who were the three longest-serving senators of all time?",1,1.0,This query requires retrieving information specifically from the given passage about Ted Kennedy's time of death to identify the three longest-serving senators at that point.,
Which company constructed the Japanese submarine Yu 12?,Which company constructed the Japanese submarine Yu 12?,1,1.0,"This query seeks specific historical or engineering details about a particular submarine's constructor, necessitating retrieval of specialized information.",
When did Christoph Karl von Piacsek serve as a Hungarian officer?,When did Christoph Karl von Piacsek serve as a Hungarian officer?,1,1.0,"This query asks for specific historical information about an individual's military service, requiring detailed factual data that is unlikely to be available in the model's training data.",
Is Moore's law still viable?,Is Moore's law still viable?,1,1.0,"Determining the current viability of Moore's Law involves understanding recent technological developments and industry trends, which requires accessing specialized external information.",
Where is the corporate headquarters of Adobe Systems?,Where is the corporate headquarters of Adobe Systems?,1,1.0,"This query asks for specific information about the location of Adobe Systems' corporate headquarters, which is a factual detail that may require up-to-date information beyond general knowledge.",
Where can I find Leptodactylus tapiti?,Where can I find Leptodactylus tapiti?,1,1.0,"The query asks for the geographic location of a specific frog species, which requires detailed ecological or geographical data that is not generally known without external sources.",
Why was Tamazulapam del Espíritu Santo placed under quarantine?,Why was Tamazulapam del Espíritu Santo placed under quarantine?,1,1.0,"This query asks for a specific reason related to a lesser-known location's quarantine status, requiring up-to-date or specialized external information.",
"Based on the information below, when might people have started baking bread?","Based on the information below, when might people have started baking bread?",1,1.0,"This query asks for a specific historical fact about when bread baking started, which typically requires external data or detailed information not commonly known.",
Can animals like dog and cat get Kidney Stones ?,Can animals like dog and cat get Kidney Stones ?,1,1.0,"This query asks about a specific medical condition in animals, which requires specialized veterinary knowledge that may need external sources for accurate information.",
What channel did the series begin on?,What channel did the series begin on?,1,1.0,"This query asks for specific information about the original broadcast channel of a TV series, which typically requires looking up external data rather than relying on general knowledge.",
Who is Ibrahima Tamba?,Who is Ibrahima Tamba?,1,1.0,"The query asks for specific information about a person who is not widely known, requiring external sources to provide details.",
What was Barthelemy Hus-Desforges famous for,What was Barthelemy Hus-Desforges famous for,1,1.0,"The query asks for specific historical information about Barthelemy Hus-Desforges, which is not likely to be known from general knowledge and requires external factual data.",
"Does Indermaur work as CTO, CEO, or CFO?","Does Indermaur work as CTO, CEO, or CFO?",1,1.0,"The query seeks specific information about a person's professional role, which may not be commonly known and could require up-to-date factual data that the model might not have.",
What is the male population in Madaria?,What is the male population in Madaria?,1,1.0,"This query asks for specific demographic data about the male population of a place (Madaria), which requires access to external sources or databases to provide an accurate answer.",
What is the largest fresh water lake?,What is the largest fresh water lake?,1,1.0,"This query asks for a specific fact (the identity and size of the largest fresh water lake), which typically requires access to reliable external data to provide an accurate answer.",
What is the history of Afrobeats?,What is the history of Afrobeats?,1,1.0,"The query asks for the history of Afrobeats, which involves specific and detailed information about its origins, key figures, and evolution. This requires factual data beyond general knowledge.",
Who was Singhari Shyamasundar Kar,Who was Singhari Shyamasundar Kar,1,1.0,"The query seeks detailed information about a specific individual, which is not commonly known and would require external data to answer accurately.",
How many member states does the European Union have?,How many member states does the European Union have?,1,1.0,"This query asks for a specific and precise fact about the number of member states in the European Union, which may require up-to-date external information beyond general knowledge.",
What was the record for University of Miami Hurricanes in 1980?,What was the record for University of Miami Hurricanes in 1980?,1,1.0,"This query asks for specific sports statistics (record) of the University of Miami Hurricanes in 1980, which requires detailed external data.",
What's Jiang's theoretical contribution?,What's Jiang's theoretical contribution?,1,1.0,"This query seeks specific information about the theoretical contributions of a person named Jiang, which may require accessing external sources if Jiang's identity and contributions are not well-known or common knowledge.",
What is a nickname of Jiang Zemin,What is a nickname of Jiang Zemin,1,1.0,The query seeks a specific piece of information about Jiang Zemin that may not be part of general knowledge and likely requires external factual retrieval.,
What is the population of North Carolina?,What is the population of North Carolina?,1,1.0,This query asks for a specific numerical statistic (current population) that is likely updated regularly and requires access to recent data sources.,
Which full-frame mirrorless camera was first available in the market?,Which full-frame mirrorless camera was first available in the market?,1,1.0,"This query asks for a specific historical fact about the first full-frame mirrorless camera released in the market, which is best answered with external data.",
What does the Obilic Medal commemorate?,What does the Obilic Medal commemorate?,1,1.0,"The query asks about a specific medal's commemoration, which may require detailed or specialized information that isn't commonly known.",
How many points did Jaromír Jágr score in the 1995-1996 season?,How many points did Jaromír Jágr score in the 1995-1996 season?,1,1.0,"This query asks for a precise statistic (points scored) by a specific player during a particular season, which necessitates accessing detailed external data.",
How many books did Dr Seuss write?,How many books did Dr Seuss write?,1,1.0,"This query seeks a specific factual piece of information about the number of books written by Dr. Seuss, which likely requires external retrieval to provide an accurate answer.",
How long does it take to recover from a sinus infection?,How long does it take to recover from a sinus infection?,1,1.0,"This query asks about the recovery duration from a sinus infection, which can vary based on severity and treatment. It requires specific medical knowledge for an accurate response.",
Which temple was the first female holocaust survivor ordained as a rabbi?,Which temple was the first female holocaust survivor ordained as a rabbi?,1,1.0,"This query seeks a specific historical detail about a notable individual and their ordination, which requires external factual information to answer accurately.",
Which two people are depicted by carved heads near the windows?,Which two people are depicted by carved heads near the windows?,1,1.0,"The query seeks identification of specific individuals depicted in carved heads near windows, which likely requires detailed factual information that may not be commonly known or included in general knowledge.",
When did Maggie Wilson first appear on TV?,When did Maggie Wilson first appear on TV?,1,1.0,"This query asks for a specific date related to an actress who may not be widely recognized, requiring detailed information that might necessitate external data retrieval.",
What train is the GB Class 2,What train is the GB Class 2,1,1.0,"The query refers to a specific railway classification, which requires detailed or specialized external information to answer accurately.",
Where did Waldo E. Koop work?,Where did Waldo E. Koop work?,1,1.0,"The query asks for specific information about where Waldo E. Koop worked, which is unlikely to be known by general knowledge alone and requires external data.",
How was the Iraqi embassy in Beirut destroyed?,How was the Iraqi embassy in Beirut destroyed?,1,1.0,This query asks about a specific historical event requiring detailed factual information that likely necessitates external sources for an accurate answer.,
Who is the Chinese Li Xueju,Who is the Chinese Li Xueju,1,1.0,"The query asks for information about a specific individual, Li Xueju, which may not be commonly known and requires factual data that the model might need to retrieve externally.",
What are the four major subregions in Central Otago?,What are the four major subregions in Central Otago?,1,1.0,"This query seeks a detailed geographical breakdown of a region in New Zealand, necessitating access to specific external sources for accurate information.",
What college did David Gilhooly go to?,What college did David Gilhooly go to?,1,1.0,"This query seeks specific personal information about an individual's education, which may not be widely known and typically requires external data retrieval.",
In what month did Jens Stub die?,In what month did Jens Stub die?,1,1.0,"The query asks for a specific historical fact about the death of Jens Stub, which requires access to external data or records to provide an accurate answer.",
Is Mount Saint Helens still active?,Is Mount Saint Helens still active?,1,1.0,"Determining if Mount Saint Helens is still active requires current geological data or updates, which may not be general knowledge but specialized information.",
When is the best time to go to Wallis and Futuna,When is the best time to go to Wallis and Futuna,1,1.0,"This query seeks specific travel advice based on local climate and conditions, which typically requires detailed, location-specific knowledge not generally covered in a model's training.",
"Did Billy Corgan really play all of the instruments on Smashing Pumpkin's 1993 album ""Siamese Dream""?","Did Billy Corgan really play all of the instruments on Smashing Pumpkin's 1993 album ""Siamese Dream""?",1,1.0,"This question asks for detailed information about whether Billy Corgan performed all instruments on the album, which is a specific fact that would need external data to confirm.",
Which are most valuable corporate brands in the world,Which are most valuable corporate brands in the world,1,1.0,"This query seeks specific information about the most valuable corporate brands globally, which requires current and detailed data that is typically available through external sources.",
What game was the animated series Tank Knights Fortress based on?,What game was the animated series Tank Knights Fortress based on?,1,1.0,"This query requires specific information about the animated series ""Tank Knights Fortress"" and its source material, which is unlikely to be known from general knowledge alone.",
What are main vegetables in V8 juice?,What are main vegetables in V8 juice?,1,1.0,"Determining the specific vegetables in V8 juice may require accessing proprietary information about its ingredients, which is not commonly known and thus necessitates external retrieval.",
What are the major innovations and scientific discoveries from UC Berkeley?,What are the major innovations and scientific discoveries from UC Berkeley?,1,1.0,"The query asks for specific and detailed historical facts about UC Berkeley's innovations and discoveries, which are unlikely to be fully covered in a general knowledge base and may require external data.",
Does Irina Korzhanenko still have her gold medal?,Does Irina Korzhanenko still have her gold medal?,1,1.0,"This query asks about the current possession status of a specific historical item (Irina Korzhanenko's gold medal), which likely requires up-to-date or specialized information that a language model might not have access to without external data.",
Who was chairman of the board of directors of Tesla as of March 2004?,Who was chairman of the board of directors of Tesla as of March 2004?,1,1.0,"This query asks for a specific historical fact about Tesla's leadership and requires detailed knowledge of the board structure as of March 2004, which is best retrieved through external data.",
"From the text below about the history of peanut butter, where can the first reference be traced from?","From the text below about the history of peanut butter, where can the first reference be traced from?",1,1.0,"This query asks for a specific reference from the provided text about peanut butter's history, requiring access to external information to find and cite the first mention.",
When did Arsenal first reach the first division? How many league titles did they win between 1989 and 2005 and how many FA cups? How many trophies in total for that period?,When did Arsenal first reach the first division? How many league titles did they win between 1989 and 2005 and how many FA cups? How many trophies in total for that period?,1,1.0,"The query seeks specific historical data about Arsenal's achievements, requiring factual information that cannot be inferred from general knowledge alone.",
What is the biggest passenger airliner?,What is the biggest passenger airliner?,1,1.0,"The query seeks specific and detailed information about the largest passenger airliner, which necessitates accessing up-to-date factual data.",
How many titles have Liverpool won?,How many titles have Liverpool won?,1,1.0,"This query seeks a specific factual answer regarding the number of titles Liverpool has won, which necessitates retrieval from external data sources to provide an accurate and current count.",
Is the person who invented bitcoin Japanese?,Is the person who invented bitcoin Japanese?,1,1.0,"This question seeks specific information about the inventor's nationality, which may require checking external sources as it's based on speculation and theories.",
What is the name of William Gibson's first comic book series?,What is the name of William Gibson's first comic book series?,1,1.0,"The query seeks a specific and detailed piece of information about William Gibson's first comic book series, which requires external factual data.",
What are all the different names for COVID-19 and which one is the most recommended?,What are all the different names for COVID-19 and which one is the most recommended?,1,1.0,"The query seeks specific alternative names for COVID-19 and the most recommended one, which requires factual data from reliable sources, making external retrieval necessary.",
Is the language spoken in Kerala a palindrome?,Is the language spoken in Kerala a palindrome?,-1,0.0,,
What horsepower does a BMW 1250GS produce,What horsepower does a BMW 1250GS produce,1,1.0,"This query asks for precise technical specifications (horsepower) of a specific motorcycle model, which is best answered with external data.",
"The United States has the most tornadoes of any country, nearly four times more than estimated in all of Europe then why does most death related to tornadoes occur in Bangladesh","The United States has the most tornadoes of any country, nearly four times more than estimated in all of Europe then why does most death related to tornadoes occur in Bangladesh",1,1.0,"This query compares tornado frequency and fatality rates between two regions, requiring detailed information about environmental conditions, infrastructure, and possibly mortality statistics that go beyond general knowledge.",
Who is Solveig Margrete Fiske,Who is Solveig Margrete Fiske,1,1.0,"The query seeks detailed information about a specific individual, which requires access to external data as the person may not be widely known or documented in general knowledge.",
In which movie or plot the character vedimuthu was established,In which movie or plot the character vedimuthu was established,1,1.0,"The query seeks information about a specific character's origin, requiring external data to answer accurately.",
Where is Galapogas Island located? What is the area of Galapogas? How many islands are there in total? When was the first island formed? What are few Volcanos in Galapogas?,Where is Galapogas Island located? What is the area of Galapogas? How many islands are there in total? When was the first island formed? What are few Volcanos in Galapogas?,1,1.0,"The query asks for several specific pieces of factual information about the Galápagos Islands, including its location, area, number of islands, geological history, and volcanic features, all requiring detailed external data.",
Which was the longest Wimbledon men's final?,Which was the longest Wimbledon men's final?,1,1.0,"This query requests specific data about the longest men's final at Wimbledon, which requires accessing historical sports records.",
What percentage of the world's population did the British Empire hold sway over?,What percentage of the world's population did the British Empire hold sway over?,1,1.0,"This query seeks a specific historical statistic that requires factual data about the British Empire's demographic influence, necessitating external information for an accurate answer.",
"here is some text about Grand-Lahou Department, What year did Grand-Lahou become part of Lagunes District?","here is some text about Grand-Lahou Department, What year did Grand-Lahou become part of Lagunes District?",1,1.0,"This query asks for a specific historical or administrative fact about the timeline of Grand-Lahou becoming part of Lagunes District, which typically requires access to external records or databases.",
How long does it typically take a battery storage power station to transition to full power from standby?,How long does it typically take a battery storage power station to transition to full power from standby?,1,1.0,This query seeks technical details about the time required for a battery storage system to activate fully. Such specifics are likely found in external engineering or energy resources.,
When was Kyoto the capital of Japan?,When was Kyoto the capital of Japan?,1,1.0,"This query asks about a specific historical fact regarding when Kyoto served as Japan's capital, which necessitates external factual data for an accurate answer.",
What was Nikola Poplašen's profession?,What was Nikola Poplašen's profession?,1,1.0,"This query asks for specific and detailed information about a person’s profession, which may not be commonly known and thus requires external factual data to accurately answer.",
Was Richard Nixon born in California?,Was Richard Nixon born in California?,1,1.0,"This query asks for a specific factual detail about a historical figure's birthplace, which typically requires external information to confirm accurately.",
When was Telangana created?,When was Telangana created?,1,1.0,"This query requests a specific historical fact about the formation of Telangana, which requires external data for an accurate answer.",
What is ECharts Java?,What is ECharts Java?,1,1.0,"The query asks about a specific software tool (ECharts) and its Java implementation, which requires detailed technical information that isn't likely known without external sources.",
When did Confinity become eBay ?,When did Confinity become eBay ?,1,1.0,"This query asks for a specific historical fact about a company rebranding event, which requires detailed external data to answer accurately.",
Give me a bulleted list of Aaron Fenster's accomplishments.,Give me a bulleted list of Aaron Fenster's accomplishments.,1,1.0,"This query requests detailed, specific information about Aaron Fenster's accomplishments, which likely requires external data retrieval to compile an accurate bulleted list.",
"Who was Charles Stuart, Duke of Cambridge","Who was Charles Stuart, Duke of Cambridge",1,1.0,"The query asks for specific historical information about an individual's title, which may require external factual data to answer accurately.",
What international trophy did the Club Africain football team won in 1971 ?,What international trophy did the Club Africain football team won in 1971 ?,1,1.0,The query asks about a specific historical achievement of a football club in 1971. This requires external data for an accurate answer.,
Was Endless Nights released in November or December?,Was Endless Nights released in November or December?,1,1.0,"The query asks for the exact release month of ""Endless Nights,"" which is a specific factual question that may require checking external sources or specialized knowledge to answer accurately.",
How many total soldiers sustained non-fatal injuries during WWI?,How many total soldiers sustained non-fatal injuries during WWI?,1,1.0,"This query seeks a precise statistic about military casualties during WWI, which is specialized information requiring external data sources for accuracy.",
What sacrifices did Ons's parents make to help her tennis career?,What sacrifices did Ons's parents make to help her tennis career?,1,1.0,"This query seeks specific details about the personal sacrifices made by Ons's parents, which are likely found in biographical or sports-related sources, necessitating external information.",
In which country did the M&NA railroad exist.,In which country did the M&NA railroad exist.,1,1.0,"This query seeks a specific historical fact about a railroad's country of origin, requiring external data retrieval.",
"Measured in feet, what was the length of the gun barrel produced by Philip Webley & Son of Birmingham discussed in the above passage?","Measured in feet, what was the length of the gun barrel produced by Philip Webley & Son of Birmingham discussed in the above passage?",1,1.0,"The query asks for a specific measurement related to a historical gun manufacturer, which likely requires looking up detailed historical or technical information beyond general knowledge.",
"Based on this article, what is a potential weakness of traditional military camouflage?","Based on this article, what is a potential weakness of traditional military camouflage?",1,1.0,"This query requires specific information from the mentioned article about military camouflage weaknesses, necessitating external retrieval.",
What was the first road trip after Elson joined Indiana University?,What was the first road trip after Elson joined Indiana University?,1,1.0,"This query seeks a specific event tied to when Elson joined Indiana University, requiring external historical or biographical data to answer accurately.",
Where does this company produce its products?,Where does this company produce its products?,1,1.0,"This query asks for specific information about a company's production locations, which typically requires external data to provide an accurate and detailed answer.",
Who was injured or killed and in what ways in the accidents?,Who was injured or killed and in what ways in the accidents?,1,1.0,"This query requires specific and detailed information about accidents involving injuries or fatalities, which typically necessitates external data sources to provide accurate responses.",
What percent of the population were Hungarian?,What percent of the population were Hungarian?,1,1.0,"This query asks for a specific statistical figure that is likely to require up-to-date and detailed demographic information, which necessitates external retrieval.",
"Is Chi Kraeng River in South America, Southeast Asia, or Australia?","Is Chi Kraeng River in South America, Southeast Asia, or Australia?",1,1.0,"This query asks for specific information about the geographical location of the Chi Kraeng River, which may require factual data not commonly known to a language model.",
Who is Mariano Sánchez?,Who is Mariano Sánchez?,1,1.0,"The query asks about a specific person whose identity may not be widely known, requiring external information to provide an accurate and detailed response.",
Where is the Kilwa Tanga,Where is the Kilwa Tanga,1,1.0,"The query asks for the location of ""Kilwa Tanga,"" which is a specific place that may require detailed or factual information not commonly known, necessitating external retrieval.",
In which country are the world's four busiest commuter rail stations located?,In which country are the world's four busiest commuter rail stations located?,1,1.0,"This query requires identifying specific data about the world's busiest commuter rail stations and determining the country where they are located, which may need external factual information.",
Tell me about the career of Erik Dekker,Tell me about the career of Erik Dekker,1,1.0,"This query seeks detailed information about a person's career, which is unlikely to be answered without accessing external data.",
Who is Asa Wood?,Who is Asa Wood?,1,1.0,"The query asks about a specific individual whose identity and background are not commonly known, requiring external factual data for an accurate answer.",
Which DJ Introduced BeatBullyz on the BBC Introducting stage?,Which DJ Introduced BeatBullyz on the BBC Introducting stage?,1,1.0,"This query asks for specific information about a particular event and individual, which is unlikely to be known without external factual data.",
Who was the highest-paid College president in 2003-2004 in U.S.?,Who was the highest-paid College president in 2003-2004 in U.S.?,1,1.0,"This query asks for a specific fact about an individual's salary during a particular period, which is unlikely to be known without accessing detailed records or reports.",
Why was Advani concerned about Modi’s appointment as a chief minister of Gujarat?,Why was Advani concerned about Modi’s appointment as a chief minister of Gujarat?,1,1.0,"This query pertains to a specific historical event involving two prominent political figures. The reasoning behind Advani's concerns would require accessing detailed historical records or articles from the time of Modi's appointment as Chief Minister, which necessitates external retrieval for accuracy.",
"here is a short history of Plainview – Old Bethpage John F. Kennedy High School, which color was changed when the name changed in 1991?","here is a short history of Plainview – Old Bethpage John F. Kennedy High School, which color was changed when the name changed in 1991?",1,1.0,"This query asks about a specific historical event regarding school branding changes, which requires access to detailed records or external sources.",
What was the most expensive car ever sold at auction,What was the most expensive car ever sold at auction,1,1.0,"This query asks for a specific factual record about the highest auction value of a car, which is detailed and likely requires up-to-date external information.",
When was Santa Monica founded?,When was Santa Monica founded?,1,1.0,This query asks for a specific historical fact (a founding date) that requires external data retrieval and cannot be answered with general knowledge alone.,
"During WWII, how many Japanese Americans were forcibly relocated and incarcerated?","During WWII, how many Japanese Americans were forcibly relocated and incarcerated?",1,1.0,"This question asks for a specific statistic regarding Japanese Americans during WWII, requiring factual data that is better retrieved from historical records.",
"How many years was Hutchinson's streak, and what caused it to end?","How many years was Hutchinson's streak, and what caused it to end?",1,1.0,"The query seeks specific historical or factual details about Hutchinson's streak duration and its cause, which likely require external data beyond general knowledge.",
What awards did Bill Murray receive for Lost in Translation?,What awards did Bill Murray receive for Lost in Translation?,1,1.0,"This query seeks specific award information related to a particular film and actor, necessitating external retrieval of detailed factual data.",
What is on the DVD Our Favorite Things,What is on the DVD Our Favorite Things,1,1.0,"The query asks for specific content on a DVD, which typically requires checking product descriptions or external data to provide accurate details.",
Who is the largest coatings company in the world by revenue?,Who is the largest coatings company in the world by revenue?,1,1.0,"This query asks for a specific fact about the largest coatings company by revenue, which is detailed and may require up-to-date external data to answer accurately.",
Where did Allen Eager grow up?,Where did Allen Eager grow up?,1,1.0,"This query asks for a specific biographical detail (the place where someone grew up), which typically requires factual information that may not be available in the general knowledge of a language model.",
What does Korla stand for?,What does Korla stand for?,1,1.0,"The query asks for the meaning or abbreviation of ""Korla,"" which is a specific term requiring external factual knowledge to answer.",
"Based on this passage, in what field did Raisa earn her PhD?","Based on this passage, in what field did Raisa earn her PhD?",1,1.0,"This query asks for specific information based on a particular passage, which requires retrieving external data to find the answer.",
Where was Mazzy Star formed?,Where was Mazzy Star formed?,1,1.0,"This query seeks specific information about the formation location of a musical group, which is a factual lookup needing external data.",
"here is a blurb about byte pair encoding for encryption, what benefits does this concept have besides compression?","here is a blurb about byte pair encoding for encryption, what benefits does this concept have besides compression?",1,1.0,"The query asks for specific benefits of byte pair encoding in encryption, which may require specialized technical knowledge beyond general understanding, necessitating retrieval.",
What magazine was Alex Prager the director of Photography for?,What magazine was Alex Prager the director of Photography for?,1,1.0,"This query asks for specific professional information about Alex Prager, which is a detailed fact that may require external data sources to confirm.",
Where did the first limited-overs cricket match take place?,Where did the first limited-overs cricket match take place?,1,1.0,"This query asks for the specific location of the first limited-overs cricket match, which is a factual detail that may not be commonly known and requires external reference to confirm accurately.",
When was the Stansfeld's death,When was the Stansfeld's death,1,1.0,"The query asks for a specific historical fact (a death date) about someone named Stansfeld, which would require external data unless it's a well-known figure.",
What caused the unprecedented five-game winning streak?,What caused the unprecedented five-game winning streak?,1,1.0,"This query refers to a specific and notable event that likely requires recent or specialized knowledge to answer accurately. The cause of such an event may not be commonly known or general knowledge, necessitating external retrieval for precise information.",
What class of locomotive was the No. 13?,What class of locomotive was the No. 13?,1,1.0,"The query asks for a specific locomotive classification (No. 13), which is detailed technical information that typically requires external data sources to answer accurately.",
Who won the 2008 Democratic primary that Martin Connor competed in?,Who won the 2008 Democratic primary that Martin Connor competed in?,1,1.0,"The query asks for a specific historical fact about an election result (who won), which requires external factual data to provide an accurate answer.",
How old was Stefan Richarz when he received his phD?,How old was Stefan Richarz when he received his phD?,1,1.0,"The query asks for a specific fact about an individual's age at the time of receiving their PhD, which requires external information that is unlikely to be general knowledge.",
Do you know the species Etlingera diepenhorstii,Do you know the species Etlingera diepenhorstii,1,1.0,"The query asks for specific information about the species Etlingera diepenhorstii, which would likely require factual data or external retrieval to provide an accurate answer.",
"Based on this article, what countries have implemented the use of a dead man zone?","Based on this article, what countries have implemented the use of a dead man zone?",1,1.0,"The query requires specific information from a particular article, making it necessary to retrieve external data to provide an accurate answer.",
What's West High School located?,What's West High School located?,1,1.0,"The query asks for the location of West High School, which requires specific factual data about the school's address, making retrieval necessary.",
What is Matong,What is Matong,1,1.0,"The term ""Matong"" could refer to a specific concept, person, or entity that may require external information for an accurate answer.",
Who is Romain Iannetta,Who is Romain Iannetta,1,1.0,"The query asks for specific information about an individual, which is not readily available in general knowledge and likely requires external data to provide a detailed answer.",
What did Gary C. Butler do?,What did Gary C. Butler do?,1,1.0,"This query seeks specific information about Gary C. Butler's actions or achievements, requiring detailed factual knowledge that is not generally known and thus necessitates external retrieval.",
"Who first used the term ""glass ceiling""?","Who first used the term ""glass ceiling""?",1,1.0,"This query seeks the origin of a known term, requiring specific historical data that may need external sources to confirm accurately.",
Who is the founder of the I Liq Chuan martial art?,Who is the founder of the I Liq Chuan martial art?,1,1.0,"The query asks for a specific historical fact about the founder of a particular martial art, which is unlikely to be known by general knowledge and would require external data.",
What is TIDB,What is TIDB,1,1.0,"TIDB stands for ""The International Database of Intangible Cultural Heritage,"" but without prior knowledge, this might require retrieval. The term is specific and may need external data to explain accurately.",
When did mountain biking start?,When did mountain biking start?,1,1.0,"This query asks for the origin or history of mountain biking, which requires specific factual information that may not be readily available in general knowledge.",
How long was the Nazi German battleship Bismarck active during WWII?,How long was the Nazi German battleship Bismarck active during WWII?,1,1.0,"This query seeks specific historical military data about the operational duration of a particular battleship during WWII, requiring factual retrieval.",
Where is Black Oak?,Where is Black Oak?,1,1.0,"The query seeks specific geographical information about ""Black Oak,"" which may not be commonly known and likely requires external factual data to answer accurately.",
https://en.wikipedia.org/wiki/Wissam_Ben_Yedder#Club,https://en.wikipedia.org/wiki/Wissam_Ben_Yedder#Club,1,1.0,"This query directs to a specific section of Wissam Ben Yedder's Wikipedia page regarding his club history, requiring external information retrieval for detailed and factual content.",
"Although Chicago isn't located on either coast of the United States, what factors continue to contribute to its economic success?","Although Chicago isn't located on either coast of the United States, what factors continue to contribute to its economic success?",1,1.0,"This query asks for specific factors that contribute to Chicago's economic success, which may require detailed knowledge about its location, transportation networks, industries, or historical context.",
"What is the oldest incorporated academy in the united states, with multiple u.s. presidents as alumni?","What is the oldest incorporated academy in the united states, with multiple u.s. presidents as alumni?",1,1.0,"The query seeks a specific historical fact about educational institutions and notable alumni, which likely requires detailed factual information beyond general knowledge.",
How far did Oskar Dillon kick in the winning goal at the NPL Queensland championship?,How far did Oskar Dillon kick in the winning goal at the NPL Queensland championship?,1,1.0,"This query asks for a specific factual detail about a particular football match involving Oskar Dillon, which requires external data to answer accurately.",
How many cycling world championships has Peter Sagan won?,How many cycling world championships has Peter Sagan won?,1,1.0,"This query asks for a specific factual piece of information about Peter Sagan's achievements, which is best answered with external data.",
What is one of the first recorded mentions of the sauna in Finnish literature?,What is one of the first recorded mentions of the sauna in Finnish literature?,1,1.0,"This query seeks a specific historical fact about the sauna's first mention in Finnish literature, which is unlikely to be answered without external factual data.",
How many times did Jorge compete in the Olympics?,How many times did Jorge compete in the Olympics?,1,1.0,"This query seeks a specific count about an individual's Olympic participation, requiring detailed external information that isn't generally known.",
How much has the population of Puerto Rico been growing?,How much has the population of Puerto Rico been growing?,1,1.0,"The query requires specific demographic data on population trends in Puerto Rico, which necessitates external information for an accurate answer.",
What was Goff's best game mentioned in the text?,What was Goff's best game mentioned in the text?,1,1.0,"The query refers to a specific detail mentioned in a text, requiring access to that external source to provide the answer.",
"here is a blurb about the 98th Illinois General Assembly, what were the notable laws that were passed?","here is a blurb about the 98th Illinois General Assembly, what were the notable laws that were passed?",1,1.0,"This query requires identifying specific laws passed by the 98th Illinois General Assembly, which is a detailed factual request that necessitates retrieval from an external source for accuracy.",
How do formula one cars generate downforce?,How do formula one cars generate downforce?,1,1.0,"This query requires an explanation of specific engineering techniques used in Formula One cars to generate downforce, which is a detailed technical topic that likely needs external information for accuracy.",
When was Chhatrapati Shivaji Maharaj born?,When was Chhatrapati Shivaji Maharaj born?,1,1.0,This query asks for a specific historical fact (a birth date) that is unlikely to be deduced purely from context and requires external factual data.,
When was Lee Kuan Yew born and when did he rule as the Prime Minister of Singapore?,When was Lee Kuan Yew born and when did he rule as the Prime Minister of Singapore?,1,1.0,"This query asks for specific historical dates related to Lee Kuan Yew's life and political career, requiring factual data that is best retrieved from reliable sources.",
What was the Tower Chowk renamed?,What was the Tower Chowk renamed?,1,1.0,"This query asks for specific historical renaming details, requiring external factual information about the name change of Tower Chowk (possibly referring to Tahrir Square).",
Who was the first African American to go to space?,Who was the first African American to go to space?,1,1.0,"This query asks for a specific historical fact about a milestone achievement in space exploration, which requires accessing external information to provide an accurate answer.",
"How many parts did O.J.: Made in America have, and could a documentary with the same length win an Oscar today?","How many parts did O.J.: Made in America have, and could a documentary with the same length win an Oscar today?",1,1.0,This query asks for specific details about a documentary series and its length-related Oscar chances. Both parts require factual information that may not be commonly known without external lookup.,
When did King Charles II return to Navarre?,When did King Charles II return to Navarre?,1,1.0,"The query asks about a specific historical event involving King Charles II and Navarre, requiring detailed factual information that is likely beyond general knowledge.",
Which family of moth does the Euxoa brevipennis belong to?,Which family of moth does the Euxoa brevipennis belong to?,1,1.0,"This query seeks a precise scientific classification of a specific moth species, requiring access to external taxonomic databases or resources for accurate identification.",
What is the net worth of one of Taylor Swift's cats?,What is the net worth of one of Taylor Swift's cats?,1,1.0,"This query seeks specific, non-generic information about an individual's pets' financial worth, which isn't typically available in general knowledge and would require external data sources.",
Which year was quantum computer demonstrated to be possible?,Which year was quantum computer demonstrated to be possible?,1,1.0,"The query seeks a specific historical event related to quantum computing, necessitating external factual data for an accurate answer.",
How much PVC produced each year?,How much PVC produced each year?,1,1.0,"This query seeks detailed statistical information about PVC production volumes annually, which requires access to specialized external data or reports.",
Tell me about the play Die Schutzbefohlenen,Tell me about the play Die Schutzbefohlenen,1,1.0,"The query asks for specific information about a play with a German title, which may require external knowledge if it's not widely known or covered in general knowledge.",
