query,instruction,predicted_label,confidence,reasoning,think
My son has a hemorrhoid and he is getting thin stool and slight diarrhea is that from the hemorrhoid?,My son has a hemorrhoid and he is getting thin stool and slight diarrhea is that from the hemorrhoid?,0,1.0,"This question relates to known symptoms of hemorrhoids, which a language model can answer using its existing knowledge without needing external data.",
My son's adult front tooth is very pointy.  Why is that?,My son's adult front tooth is very pointy.  Why is that?,1,1.0,This query pertains to a specific medical/dental condition and requires specialized knowledge or external resources to provide an accurate answer.,
My toenails are a yellow tone and has turned into a bump on my nail I was wondering what I could do. I think it may be a fungal nail possibly. ?,My toenails are a yellow tone and has turned into a bump on my nail I was wondering what I could do. I think it may be a fungal nail possibly. ?,1,1.0,"This query asks for advice regarding potential nail fungus and symptoms, requiring specific medical knowledge or expertise beyond general knowledge.",
"Painful scar tissue left under atypical mole removal spot on calf. Sharp, deep pain. Dermatologist recommended plastic surgeon. What will happen?","Painful scar tissue left under atypical mole removal spot on calf. Sharp, deep pain. Dermatologist recommended plastic surgeon. What will happen?",1,1.0,"This query seeks specialized medical advice regarding a complex condition (scar tissue after mole removal) and treatment options by a plastic surgeon, requiring detailed professional knowledge beyond general information.",
Panic attack after smoking weed. Is this normal?,Panic attack after smoking weed. Is this normal?,1,1.0,"This query involves a specific medical concern regarding the side effects of cannabis use. It requires detailed or specialized information about possible reactions and is best addressed with current, reliable medical data.",
"Please explain what it means to have a ""prominent nose""?","Please explain what it means to have a ""prominent nose""?",0,1.0,"This query seeks the meaning of a common English phrase, which can be answered using general knowledge and does not require external retrieval.",
Please help! What is the survival rate of malignant meningioma?,Please help! What is the survival rate of malignant meningioma?,1,1.0,"This query asks for a specific medical statistic (survival rate) related to a type of brain tumor, which requires specialized medical data available in external sources.",
Please provide advice on discontinuing hctz (hydrochlorothiazide) after developing petechiae on my arms. I have been taking hctz (hydrochlorothiazide) for 3 months and this just started.,Please provide advice on discontinuing hctz (hydrochlorothiazide) after developing petechiae on my arms. I have been taking hctz (hydrochlorothiazide) for 3 months and this just started.,1,1.0,"This query seeks specific medical advice regarding the discontinuation of a medication based on developed symptoms, which requires specialized medical knowledge and up-to-date information.",
Question on a discharge--slimey and midcycle?,Question on a discharge--slimey and midcycle?,0,1.0,"This query appears to relate to a medical issue regarding discharge, which could potentially require specialized knowledge. However, the phrasing is vague and might be answered with general medical knowledge, making external retrieval unnecessary.",
Quick question about ketone test strips. If they are kind of pinkish before I use them are they bad?,Quick question about ketone test strips. If they are kind of pinkish before I use them are they bad?,1,1.0,"This query asks for specific information about the condition of ketone test strips, which may require detailed knowledge about their appearance and functionality before use, necessitating external retrieval.",
"Recently had bacterial vaginosis and a yeast infection. Still think I have bv- treated with metronidazole + fluconazole, discharge white. Thoughts?","Recently had bacterial vaginosis and a yeast infection. Still think I have bv- treated with metronidazole + fluconazole, discharge white. Thoughts?",1,1.0,"The query involves specific medical treatments and symptoms (BV, yeast infection, medications, discharge) requiring detailed medical knowledge for proper advice.",
Rectal bleeding after fissure op. Surgon found 1 big hemorrhoid and some small. Banding done for big one. Foul smell & bleeding persistant. What is it?,Rectal bleeding after fissure op. Surgon found 1 big hemorrhoid and some small. Banding done for big one. Foul smell & bleeding persistant. What is it?,1,1.0,"This query involves a detailed medical situation requiring specialized knowledge about post-surgical complications and treatment effectiveness, necessitating external medical data.",
School paper: how does a disciplinary and or criminal record affect the ability to get into professional school/medical school?,School paper: how does a disciplinary and or criminal record affect the ability to get into professional school/medical school?,1,1.0,"This query asks about the impact of specific records on admissions, which requires detailed knowledge of varying policies across institutions and jurisdictions, necessitating external information.",
Skin sticking out under my tongue. Is this normal?,Skin sticking out under my tongue. Is this normal?,1,1.0,"This query concerns an unusual physical symptom and may indicate a medical condition. To provide an accurate answer, specific medical information or expertise is required, making external retrieval necessary.",
So can two women have a child of their own?,So can two women have a child of their own?,0,1.0,"This query asks whether two women can have a child, which is a known possibility through medical methods like IVF and surrogacy. The answer can be derived from general knowledge without requiring external information.",
"So, I have this itchy dark brown mole on my hip, it's sort of red around the edges, I have no idea what's causing it. Any ideas?","So, I have this itchy dark brown mole on my hip, it's sort of red around the edges, I have no idea what's causing it. Any ideas?",1,1.0,"This query involves a personal health concern that requires specialized medical knowledge to address properly, necessitating the use of external resources for accurate information.",
Stubbed left pinkie toe a few hours ago. Quite painful. Now its swollen and there's a lump on the right side of the toe and it hurts. Fractured?,Stubbed left pinkie toe a few hours ago. Quite painful. Now its swollen and there's a lump on the right side of the toe and it hurts. Fractured?,0,1.0,"The query asks whether specific symptoms (pain, swelling, lump) indicate a fracture. This can be answered using general medical knowledge without needing external data sources.",
Suggest me ways for late discharge during intercourse male age 42 yrs?,Suggest me ways for late discharge during intercourse male age 42 yrs?,1,1.0,"The query asks for specific techniques to delay ejaculation, which may require detailed medical or behavioral information that is best sourced externally.",
"Supposing that cancer has spread from an origin, is that secondary cancer treated differently?","Supposing that cancer has spread from an origin, is that secondary cancer treated differently?",1,1.0,"The query pertains to a detailed medical question regarding cancer treatment, which typically requires specialized knowledge or up-to-date medical information beyond general knowledge.",
The cause of my first pregnancy miscarriage seemed to b a bleed sac above my baby at 6 1/2 weeks. Is there anything I can do to prevent this next time.,The cause of my first pregnancy miscarriage seemed to b a bleed sac above my baby at 6 1/2 weeks. Is there anything I can do to prevent this next time.,1,1.0,"The query seeks specific medical advice regarding a past pregnancy issue and preventative measures, requiring detailed medical knowledge beyond general information.",
"Ways to get bilirubin down like blue lights,  etc?","Ways to get bilirubin down like blue lights,  etc?",1,1.0,"The query asks for specific medical treatments or procedures to lower bilirubin levels, which may require detailed medical knowledge beyond general knowledge.",
"Weeping blisters ontop of foot,red toes...looks terrible.what to do??","Weeping blisters ontop of foot,red toes...looks terrible.what to do??",1,1.0,The query describes potential health symptoms that require specialized medical knowledge to address properly. It is important to consult reliable sources for accurate advice.,
What amount of niacin flush should I take to clean my system free of thc?,What amount of niacin flush should I take to clean my system free of thc?,1,1.0,"This query seeks a specific treatment method and dosage for using niacin to remove THC, which is specialized health advice requiring detailed external information.",
What are my chances of getting pregnant if my boyfriend pulled out. But then inserted his fingers and penis back in my vagina  with sperm ...,What are my chances of getting pregnant if my boyfriend pulled out. But then inserted his fingers and penis back in my vagina  with sperm ...,1,1.0,"This query involves a specific medical scenario requiring detailed biological information to assess pregnancy risk, necessitating external data for an accurate response.",
What are some non-medical things I can do help my asthma?,What are some non-medical things I can do help my asthma?,0,1.0,"This question seeks general advice on managing asthma without medical intervention, which can typically be answered using common knowledge about health practices.",
What are the chances of survival following a stomach cancer diagnosis?,What are the chances of survival following a stomach cancer diagnosis?,1,1.0,"This query seeks specific medical survival rates, which are detailed and may require access to current medical databases or studies.",
What are the five most common emergency surgeries in american teen girls?,What are the five most common emergency surgeries in american teen girls?,1,1.0,"This query requests specific medical statistics that are likely available in medical studies or reports, necessitating retrieval of external information.",
What are those tiny white bumps on the tip of my tongue? Can I spread it to my infant?,What are those tiny white bumps on the tip of my tongue? Can I spread it to my infant?,1,1.0,"This query involves a specific medical concern about symptoms and potential transmission, requiring detailed medical expertise or factual data for an accurate response.",
What blood sugar level is considered normal for people with type 2 diabetes?,What blood sugar level is considered normal for people with type 2 diabetes?,1,1.0,"The query asks for specific medical guidelines regarding blood sugar levels in type 2 diabetes, which requires accurate and up-to-date information typically found in external medical sources.",
What can cause neck vessels to become engorged and distended episodically that improves greatly with daily replacement doses (20mg) of hydrocortisone?,What can cause neck vessels to become engorged and distended episodically that improves greatly with daily replacement doses (20mg) of hydrocortisone?,1,1.0,"This query seeks a specific medical condition linked to symptoms treated by hydrocortisone, requiring specialized medical information.",
What can I do about low back pain and stiffness during and after bending over?,What can I do about low back pain and stiffness during and after bending over?,0,1.0,"This query seeks general self-care advice for low back pain and stiffness, which is typically covered in standard health information that a language model can provide without external data.",
What can I do to increase my chances of getting pregnant? I also did medical abortion 5 months ago. I use the ovulation kit and no results. Plz help,What can I do to increase my chances of getting pregnant? I also did medical abortion 5 months ago. I use the ovulation kit and no results. Plz help,1,1.0,"This query seeks personalized medical advice based on a specific situation (past abortion and ovulation tracking), requiring detailed medical information for an accurate response.",
What causes hungry one hour after meals with upper abdominal pain and burning sensation?,What causes hungry one hour after meals with upper abdominal pain and burning sensation?,1,1.0,"The query involves specific medical symptoms (hunger, upper abdominal pain, burning sensation) that require specialized medical knowledge for an accurate diagnosis, necessitating external information.",
What causes these blister things under your tongue?,What causes these blister things under your tongue?,0,1.0,"The query asks about a common medical issue with known causes that most language models can answer using their built-in knowledge, without needing external data.",
What could I do to make my breats bigger naturally?,What could I do to make my breats bigger naturally?,1,1.0,"This query seeks specific health-related advice that may involve detailed techniques or products, requiring external retrieval for accuracy.",
What does a medical physicist do during cancer treatment?,What does a medical physicist do during cancer treatment?,1,1.0,"This query seeks specific information about a specialized profession's role in cancer treatment, which likely requires detailed factual data beyond general knowledge.",
What does having an f2 bone cyst on my spine mean?,What does having an f2 bone cyst on my spine mean?,0,1.0,This query asks for a medical explanation of a specific condition (F2 bone cyst) and can likely be answered using the model's existing knowledge about common medical terms and conditions.,
What exactly is the fastest way to burn off belly fat?,What exactly is the fastest way to burn off belly fat?,1,1.0,"This question asks for specific methods to achieve weight loss, particularly targeting belly fat, which might involve detailed or expert-recommended strategies that go beyond common knowledge.",
What happens at fetal heart ultrasound?,What happens at fetal heart ultrasound?,0,1.0,"The query asks for an explanation of a known medical procedure, which is part of general knowledge and doesn't require specific external retrieval.",
What happens to a person at the end that has pancreatic cancer?,What happens to a person at the end that has pancreatic cancer?,1,1.0,"This query asks for detailed medical information about the end stages of pancreatic cancer, which is a specific and specialized topic requiring factual data from reliable sources.",
What increases blood coagulation?,What increases blood coagulation?,1,1.0,"This query asks about specific biological factors influencing blood coagulation, which requires detailed medical knowledge to answer accurately.",
What is best position of a fetus at seventh month?,What is best position of a fetus at seventh month?,1,1.0,"The query pertains to a specific aspect of prenatal development, requiring factual information about fetal positioning, which necessitates external retrieval.",
What is Cervical cancer a risk factor for?,What is Cervical cancer a risk factor for?,0,1.0,"This question asks about the known medical conditions associated with cervical cancer as a risk factor, which is general health knowledge that can be answered without external retrieval.",
What is done about migraines caused by changes in temperature?,What is done about migraines caused by changes in temperature?,1,1.0,"This query seeks specific advice on managing migraines caused by temperature changes, which may require detailed medical knowledge or recent research that a language model might not have access to without external data.",
What is liver failure and how is it treated?,What is liver failure and how is it treated?,0,1.0,This query is about a general medical topic that most language models can answer using their built-in knowledge without needing external retrieval.,
What is the definition or description of: diclofenac?,What is the definition or description of: diclofenac?,0,1.0,Diclofenac is a common NSAID used for pain and inflammation; its basic definition is within general medical knowledge.,
"What is the difference between catatonia and ""emotional unavailability""?","What is the difference between catatonia and ""emotional unavailability""?",1,1.0,"This query asks for the distinction between two psychological or medical concepts. Catatonia refers to specific symptoms related to mental health conditions like schizophrenia, while ""emotional unavailability"" is a broader interpersonal trait. Understanding their differences requires detailed knowledge that may not be fully captured in general language model training.",
What's a good way to address back pain?,What's a good way to address back pain?,0,1.0,"This question seeks general health advice about back pain, which is commonly known and can be answered using general knowledge without requiring specific external data.",
"What should I do if I have counted 25 canker sores in my mouth, which are extremely painful, can you help me find out how to lessen the pain?","What should I do if I have counted 25 canker sores in my mouth, which are extremely painful, can you help me find out how to lessen the pain?",1,1.0,"This query concerns a severe and unusual medical condition requiring specialized knowledge or professional advice, necessitating external retrieval for accurate information.",
What to do if I have a archwire that is not connected to one bracket of the damon braces?,What to do if I have a archwire that is not connected to one bracket of the damon braces?,1,1.0,"This query concerns a specific technical issue with Damon braces, which requires detailed knowledge of orthodontic appliances and their mechanisms. Retrieving specialized information is necessary to provide an accurate solution.",
What to do if I have a very flat butt. it almost doesn't exist. what are some tips/exercises that could give me a nice butt?,What to do if I have a very flat butt. it almost doesn't exist. what are some tips/exercises that could give me a nice butt?,0,1.0,"This query seeks general fitness advice, which can typically be answered using common knowledge about exercises for butt toning.",
What to do if I have blood in stool?,What to do if I have blood in stool?,1,1.0,"This query asks for medical advice regarding a potentially serious health symptom, which requires specialized knowledge and reliable sources to provide an accurate answer.",
What treatment would you recommend for demodex folliculorum infestation? It appeared at the base of the nose and spreading down. Thank you!,What treatment would you recommend for demodex folliculorum infestation? It appeared at the base of the nose and spreading down. Thank you!,1,1.0,"The query asks for specific medical treatment recommendations for a parasitic infestation, which is a precise and specialized topic requiring expert knowledge or external sources for accurate information.",
What would a spider bite on the tongue look like?,What would a spider bite on the tongue look like?,0,1.0,"The query asks for general knowledge about how a spider bite appears on the tongue, which is something a language model can typically answer based on its training data without needing external retrieval.",
"What would cause white tip of the uvula? Sore throat in morning, but goes away. White tip remains throughout","What would cause white tip of the uvula? Sore throat in morning, but goes away. White tip remains throughout",1,1.0,"This query asks about a specific medical symptom (a white tip on the uvula), which likely requires detailed medical knowledge or external data to answer accurately. The mention of additional symptoms (sore throat in the morning) further indicates the need for specialized information.",
When after you concieve can your nipples start itching?,When after you concieve can your nipples start itching?,1,1.0,"This query asks about a specific physical symptom during pregnancy, which requires detailed medical knowledge that the model might not have access to without external data.",
When can I give my babies the chicken& meat  they are now 8 months?,When can I give my babies the chicken& meat  they are now 8 months?,1,1.0,"The query asks for a specific feeding guideline regarding introducing chicken and meat to an 8-month-old baby. This requires detailed nutritional information, which may necessitate external resources for accuracy.",
"When should I use an ovulation test? Morning, afternoon or night?","When should I use an ovulation test? Morning, afternoon or night?",0,1.0,The query asks about a common health practice where the timing for ovulation tests is generally known and can be answered using general knowledge without needing external information.,
"Why does/would wearing an abdominal binder raise my blood pressure? Both diastolic and systolic increased by 10 points, pushing me into hypertensive range 135/105.","Why does/would wearing an abdominal binder raise my blood pressure? Both diastolic and systolic increased by 10 points, pushing me into hypertensive range 135/105.",1,1.0,"This query asks about a specific physiological effect of wearing an abdominal binder on blood pressure, which likely requires detailed medical knowledge or research studies to answer accurately.",
Why do I have chest wall pain and hard time breathing long after workouts ?,Why do I have chest wall pain and hard time breathing long after workouts ?,1,1.0,This query involves a medical symptom (chest wall pain and difficulty breathing) that requires specific medical knowledge to identify potential causes and provide an accurate response.,
Why don't you use a non rebreather on a pt that is hyperventilating due to anxiety?,Why don't you use a non rebreather on a pt that is hyperventilating due to anxiety?,0,1.0,"This question pertains to a specific medical practice that can be answered using known medical guidelines and standard emergency care knowledge, without the need for external data retrieval.",
Why dose my chest hurt when stretching and coughing plus sneezing?,Why dose my chest hurt when stretching and coughing plus sneezing?,1,1.0,"This query concerns a medical symptom (chest pain during certain activities) and likely requires specialized medical knowledge to provide an accurate response, necessitating external retrieval.",
"Why is my period blood dark brown, stopped after 4 hrs. Is this a period?","Why is my period blood dark brown, stopped after 4 hrs. Is this a period?",1,1.0,"This query concerns menstrual health, which may require specialized medical knowledge to provide an accurate answer. External retrieval could help ensure reliable and safe information.",
Would 3 normal u/s and 5 low d-dimers over the course of 4 weeks rule out dvt? Even though leg pain is still there? No redness or swelling.,Would 3 normal u/s and 5 low d-dimers over the course of 4 weeks rule out dvt? Even though leg pain is still there? No redness or swelling.,1,1.0,"This query involves interpreting specific medical test results (ultrasound and D-dimer levels) to determine if they rule out DVT, which requires specialized medical knowledge and clinical guidelines. The question also considers alternative causes for persistent leg pain, necessitating external medical expertise for a comprehensive answer.",
Would there be symptoms if vertebrae in neck collapsed?,Would there be symptoms if vertebrae in neck collapsed?,1,1.0,"The query asks for specific medical symptoms related to a collapsed vertebra in the neck, which requires detailed medical knowledge that is best retrieved from external sources.",
"2yr old dry skin above lip and top lip irritated and or dry. Regular cetaphyl atopic stings. Is it ok to put vaseline?  it's red, irritated. Other?","2yr old dry skin above lip and top lip irritated and or dry. Regular cetaphyl atopic stings. Is it ok to put vaseline?  it's red, irritated. Other?",1,1.0,"This query involves specific medical advice about treating a child's skin condition with particular products (Vaseline), which may require specialized knowledge or external resources to provide a safe and accurate recommendation.",
All of a sudden my ears stopped producing ear wax. What could be the cause?,All of a sudden my ears stopped producing ear wax. What could be the cause?,0,1.0,"This query seeks to understand a common bodily function and possible health-related causes, which are general knowledge topics that a language model can address without requiring external data retrieval.",
Anyone have any dietary suggestions for a 10 year old with gastritis?,Anyone have any dietary suggestions for a 10 year old with gastritis?,1,1.0,"This query seeks specialized dietary advice for a child with gastritis, which typically requires accessing medical or nutritional expertise to provide accurate recommendations.",
A recent CT scan with contrast revealed two cysts on pancreas. What does this mean? Previous colon cancer and has esld. Also 6mm mass on liver.,A recent CT scan with contrast revealed two cysts on pancreas. What does this mean? Previous colon cancer and has esld. Also 6mm mass on liver.,1,1.0,"The query requires interpretation of medical imaging findings in the context of a patient's medical history, which necessitates specific medical expertise and external data for an accurate response.",
Are there any serious after-effects of a heroin overdose?,Are there any serious after-effects of a heroin overdose?,1,1.0,"This query asks for specific medical information about the potential health consequences of heroin overdose, which requires detailed factual knowledge from specialized sources.",
"A while ago I developed a white clumpy discharge, itching, small bumps, and a strange scent. I'm six months pregnant, and I don't have an STD. Help?","A while ago I developed a white clumpy discharge, itching, small bumps, and a strange scent. I'm six months pregnant, and I don't have an STD. Help?",1,1.0,"This query involves describing symptoms that may require medical expertise to diagnose properly. It is specific and related to health conditions during pregnancy, which necessitates retrieving specialized medical information for a proper answer.",
Can allergies to tooth paste ingredients cause diarrhea and stomach pains?,Can allergies to tooth paste ingredients cause diarrhea and stomach pains?,0,1.0,"This question relates to potential allergic reactions and their effects, which can generally be addressed with known medical information without requiring external retrieval.",
Can a pedigree help you trace a condition that is autosomal dominant or autosomal recessive?,Can a pedigree help you trace a condition that is autosomal dominant or autosomal recessive?,1,1.0,"This query asks about the application of pedigree analysis in genetic disorders, which involves specific knowledge and techniques that require external factual data.",
Can a person be allergic to febreeze plug ins? The scent of something?,Can a person be allergic to febreeze plug ins? The scent of something?,0,1.0,"This question asks about a general possibility of allergies related to scented products like Febreze. Allergies to scents are a common topic, and the model can infer from general knowledge without needing external data.",
Can a urine test show you have kidney stones?,Can a urine test show you have kidney stones?,0,1.0,This query asks about a common medical procedure (urine tests for kidney stones) that most language models can answer using built-in medical knowledge without needing external data.,
Can cognitive behavioral therapy help someone quit smoking?,Can cognitive behavioral therapy help someone quit smoking?,0,1.0,"This question asks about whether cognitive behavioral therapy is an established method for quitting smoking, which is general knowledge and can be answered without external retrieval.",
Can contact dermatitis cause scarring?,Can contact dermatitis cause scarring?,1,1.0,"This query involves a specific medical condition and its possible outcome, which may require specialized knowledge or external sources for an accurate answer.",
Can i drink coffee to avoid a headache?,Can i drink coffee to avoid a headache?,0,1.0,"This query seeks general advice on using coffee for headaches, which is within common knowledge and doesn't require specific external data.",
Can I have a glass of wine while taking methylprednisolone for poison ivy?,Can I have a glass of wine while taking methylprednisolone for poison ivy?,1,1.0,"This query involves a specific medical concern about medication interaction, requiring detailed and specialized information that necessitates external retrieval for accurate answers.",
Can sleep apnea cause memory loss? And negative thinking? I got diagnosed with sleep apnea but I am not sure how long I've had it.,Can sleep apnea cause memory loss? And negative thinking? I got diagnosed with sleep apnea but I am not sure how long I've had it.,1,1.0,"This query involves specific medical questions about the effects of sleep apnea, which may require detailed medical knowledge or external sources to answer accurately.",
"Can taking DEPO shot make you irritable? Is it normal to have brownish discharge while on it, but no period so far? It's been 22 days.","Can taking DEPO shot make you irritable? Is it normal to have brownish discharge while on it, but no period so far? It's been 22 days.",1,1.0,"This query asks for specific medical information about side effects of a medication, which requires detailed factual data beyond general knowledge.",
"Can u do surgery13 weeks after initial injury to repair ulna&radius broken mid shaft showing poor bone healing&appears to be healing ""bowed"" (bad angle?","Can u do surgery13 weeks after initial injury to repair ulna&radius broken mid shaft showing poor bone healing&appears to be healing ""bowed"" (bad angle?",1,1.0,"This query seeks specific medical advice about surgical timing and treatment for bone healing issues, requiring specialized knowledge from external medical resources.",
Can you tell me about the most common genetic disorder?,Can you tell me about the most common genetic disorder?,0,1.0,This question seeks a commonly known genetic disorder and can be answered using general knowledge without requiring external retrieval.,
"Cold worse after 10 days. Symptoms: phlegm, shorter breath, chest pain, eyelids sealed by mucus at night. Is it more than a cold? What do I do next?","Cold worse after 10 days. Symptoms: phlegm, shorter breath, chest pain, eyelids sealed by mucus at night. Is it more than a cold? What do I do next?",1,1.0,The query involves severe symptoms suggesting a possible medical condition requiring specialized knowledge. It necessitates retrieval for accurate guidance.,
Could ovarian cysts enlarge during ovulation?,Could ovarian cysts enlarge during ovulation?,1,1.0,"This question pertains to a medical topic that requires specialized knowledge to explain how ovarian cysts behave during ovulation, necessitating external information for accuracy.",
"Cut my finger about 10hrs ago. It looked deep quickly cleaned and dressed it, now you can barely tell I cut it. Is it possible to heal this quicly?","Cut my finger about 10hrs ago. It looked deep quickly cleaned and dressed it, now you can barely tell I cut it. Is it possible to heal this quicly?",0,1.0,"This query asks about a common medical scenario and whether quick healing is possible, which can be answered using general knowledge about wound healing.",
Does Adderall (dextroamphetamine and racemic amphetamine) make eyes itch?,Does Adderall (dextroamphetamine and racemic amphetamine) make eyes itch?,1,1.0,This query asks for specific medical information regarding a side effect of Adderall. Such detailed and specialized knowledge typically requires consultation of external medical sources or databases to provide an accurate answer.,
Does any one get cancer of the blood?,Does any one get cancer of the blood?,0,1.0,This question asks about the existence of a known medical condition and can be answered using general knowledge.,
Does chronic laxative use lead to bacteria imbalance in the gut??,Does chronic laxative use lead to bacteria imbalance in the gut??,1,1.0,"This query concerns a specific health-related question about the effects of chronic laxative use on gut bacteria, which requires specialized medical knowledge or recent research findings.",
Do people who suffer impaired cognition as a result of a brain tumor recover their faculties?,Do people who suffer impaired cognition as a result of a brain tumor recover their faculties?,1,1.0,"This question pertains to a complex medical topic where accurate, specialized information is necessary to provide a reliable answer.",
Do you think there's ever going to be a cure for herpes? Or are people already trying to find a cure? Do you think there's a chance of finding a cure?,Do you think there's ever going to be a cure for herpes? Or are people already trying to find a cure? Do you think there's a chance of finding a cure?,0,1.0,"This question seeks opinions on the likelihood of finding a cure for herpes and whether efforts are ongoing. While it touches on medical research, it doesn't require specific, detailed external information as it's speculative and based on general knowledge about current scientific understanding.",
Effects of drinking alcohol on the body fat?,Effects of drinking alcohol on the body fat?,1,1.0,"The query asks for specific information about how alcohol affects body fat, which involves detailed physiological processes that may require external scientific or medical data to answer accurately.",
"Eyes feeling dry last couple of days. One eye became mildly red with clear mucus, next day the mucous was yellow with eye irritation. Mucous in throat?","Eyes feeling dry last couple of days. One eye became mildly red with clear mucus, next day the mucous was yellow with eye irritation. Mucous in throat?",1,1.0,"This query describes specific symptoms (dry eyes, redness, mucus changes) that may indicate an underlying condition requiring medical expertise. Accurately diagnosing the cause would need specialized knowledge or external data.",
Flu like symptoms for about 3weeks. Now symptoms are gone. Have been having coughing fits now for 1week chest is really hurting. What to do?,Flu like symptoms for about 3weeks. Now symptoms are gone. Have been having coughing fits now for 1week chest is really hurting. What to do?,1,1.0,"This query involves a detailed medical situation with persistent symptoms over several weeks, which may indicate an underlying health issue requiring professional medical advice. Retrieving specific medical guidance is necessary for such a case.",
"For people with arthritis, is it painful to pop knuckles, like hand knuckles?","For people with arthritis, is it painful to pop knuckles, like hand knuckles?",1,1.0,"The query asks about the pain associated with knuckle popping for individuals with arthritis, which requires specialized medical knowledge to answer accurately.",
For the 1st time a lot of clear colorless odorless liquid gushed out of vagina 2 days after sex with my partner of 2 years. Had my period a week later,For the 1st time a lot of clear colorless odorless liquid gushed out of vagina 2 days after sex with my partner of 2 years. Had my period a week later,1,1.0,This query describes unusual symptoms that may require specialized medical knowledge or consultation with a healthcare professional to address properly. The situation involves potential health concerns that go beyond general knowledge and necessitate specific information.,
"Had Yellow stool for almost 4months with no other symptoms,it turned to dark green 3days ago,no iron supplements Should i worry ?","Had Yellow stool for almost 4months with no other symptoms,it turned to dark green 3days ago,no iron supplements Should i worry ?",1,1.0,"This query involves specific health symptoms (yellow and dark green stools over time) that may indicate underlying medical conditions. Providing a reliable answer requires access to medical knowledge or guidelines, which necessitates external retrieval.",
"Have water fluid on feet and legs pretty bad, already on water pills....Have a hard time sleeping and fine it hard to walk... Should I go to the er?","Have water fluid on feet and legs pretty bad, already on water pills....Have a hard time sleeping and fine it hard to walk... Should I go to the er?",1,1.0,"This query involves serious health symptoms (fluid retention, difficulty sleeping, walking trouble) that require immediate medical evaluation, necessitating retrieval of specialized medical information to advise appropriately.",
"Hello docs, is atherectomy better than stent procedure?","Hello docs, is atherectomy better than stent procedure?",1,1.0,"This query asks for a comparative analysis of two specific medical procedures, requiring detailed medical knowledge that necessitates external factual data.",
Hello. I have bloodly discharge and a little pain in my lower stomach and back. When I wipe after peeing I can see it and sometimes its mucus like..,Hello. I have bloodly discharge and a little pain in my lower stomach and back. When I wipe after peeing I can see it and sometimes its mucus like..,1,1.0,"The query involves specific health symptoms that require medical expertise for an accurate diagnosis, necessitating access to external information or professional guidance.",
He touched my vulva nd clit with his fingers nd am not sure if he had ejacultion or not. That was on the 9 th day of a regular 28 days period. Chance?,He touched my vulva nd clit with his fingers nd am not sure if he had ejacultion or not. That was on the 9 th day of a regular 28 days period. Chance?,0,1.0,"This query seeks advice on determining whether ejaculation occurred during a specific phase of the menstrual cycle. It involves understanding general biological principles and factors influencing sexual response, which can be addressed using existing knowledge without external retrieval.",
Hi. I have been having ear pain in my right ear. It started on Thursday maybe and It just keeps hurting.?,Hi. I have been having ear pain in my right ear. It started on Thursday maybe and It just keeps hurting.?,0,1.0,"This query seeks advice for a medical symptom. While it could benefit from specialized knowledge, many language models have general health information to offer basic guidance.",
How are baby and adult cartilage different?,How are baby and adult cartilage different?,1,1.0,"This query asks about specific biological differences between baby and adult cartilage, which involves detailed anatomical and developmental information that is best retrieved from external sources.",
How can I deal with anxeity without medication?,How can I deal with anxeity without medication?,0,1.0,"This query seeks general advice on managing anxiety through non-medical means, which a language model can answer using its existing knowledge of common techniques.",
How can I heal a third degree burn?,How can I heal a third degree burn?,1,1.0,"This query seeks specific medical advice for treating severe burns, which requires precise and reliable information from authoritative sources.",
How can I help a depressed friend?,How can I help a depressed friend?,0,1.0,"The query seeks general advice on supporting someone with depression, which is typically covered in common knowledge and doesn't require specific external information.",
"How can I improve my posture? I have at least 4 inches of head forward tilt from rounded shoulders. Remembering just to stand up straight, no.","How can I improve my posture? I have at least 4 inches of head forward tilt from rounded shoulders. Remembering just to stand up straight, no.",0,1.0,"This query seeks general advice on improving posture, which is a common topic with established methods and can typically be answered using existing knowledge without needing external data.",
How can I stop my hands getting chaped and dry ?,How can I stop my hands getting chaped and dry ?,0,1.0,"This query seeks general advice on preventing dry and chapped hands, which is likely within the scope of common knowledge that a language model can provide without needing to retrieve external information.",
"How can you tell the difference between hemmorhoids and colon cancer? Even though the symptoms are very similar, what are the major differences?","How can you tell the difference between hemmorhoids and colon cancer? Even though the symptoms are very similar, what are the major differences?",1,1.0,"This query requires detailed medical information to distinguish between two conditions with similar symptoms, necessitating specialized knowledge or external data for an accurate response.",
How come so many medical doctors do not believe that adrenal fatigue is a real issue?,How come so many medical doctors do not believe that adrenal fatigue is a real issue?,1,1.0,"This query involves understanding the medical community's stance on a specific condition, which likely requires detailed medical research or expert opinions to answer accurately.",
"How do I calculate the number of days that my period lasts? It flows for like 6 days, but on the 7th day it drops just little like spotting. Please","How do I calculate the number of days that my period lasts? It flows for like 6 days, but on the 7th day it drops just little like spotting. Please",0,1.0,"This query asks for a general method of calculating period duration, which can be answered using common knowledge about tracking menstrual cycles without needing external data.",
How do I stop my cold sore from peeling?   When a cold sore peels is it supposed to bleed?,How do I stop my cold sore from peeling?   When a cold sore peels is it supposed to bleed?,0,1.0,"This query seeks health-related advice about cold sores, which is a common issue with known solutions. The questions are likely answerable from general medical knowledge without requiring specific external data.",
